"name","id","lat","lon"
"Adak Island, Adak Airport, AK","PADK",51.878,-176.646
"Anchorage, Elmendorf Air Force Base, AK","PAUT",54.14499,-165.60757
"Anaktuvuk Pass, Anaktuvuk Pass Airport, AK","PAFM",67.1063,-157.85699
"Ambler, Ambler Airport, AK","PAKP",68.1336,-151.743
"Akun Airport, AK","PAED",61.251,-149.80701
"Anchorage, Lake Hood Seaplane Base, AK","PALH",61.18,-149.97
"Aniak, Aniak Airport, AK","PAMR",61.2135,-149.84399
"Anchorage, Merrill Field Airport, AK","PANC",61.1744,-149.996
"Annette Island Airport, AK","PAGN",57.5,-134.58
"Angoon, AK","PANI",61.5816,-159.543
"Anvik, Anvik Airport, AK","PANT",55.0424,-131.57201
"Anchorage, Ted Stevens Anchorage International Airport, AK","PANV",62.6467,-160.19099
"Bethel, Bethel Airport, AK","PARC",68.1147,-145.57899
"Bettles, Bettles Airport, AK","PAAK",52.2203,-174.20599
"Deadhorse, Deadhorse Airport, AK","PATQ",70.4673,-157.436
"Wiley Post-Will Rogers Memorial Airport, AK","PABR",71.2854,-156.76601
"Chignik, Chignik Airport, AK","PABA",70.134,-143.582
"Arctic Village, Arctic Village Airport, AK","PABE",60.7798,-161.838
"Atqasuk, AK","PABT",66.9139,-151.52901
"Birchwood, Birchwood Airport, AK","PABV",61.4165,-149.507
"Buckland, Buckland Airport, AK","PABL",65.9816,-161.149
"Atka, Atka Airport, AK","PAJC",56.3115,-158.373
"Chulitna, Chulitna Airport, AK","PAEC",62.88,-149.83
"Barter Island, Barter Island LRRS Airport, AK","PFCL",58.8337,-158.52901
"Cold Bay, Cold Bay Airport, AK","PACD",55.2061,-162.72501
"Emmonak, Emmonak Airport, AK","PACV",60.4918,-145.478
"Deering, Deering/New Airport, AK","PALP",70.3443,-150.94501
"Clarks Point Airport, AK","PASC",70.1947,-148.465
"Deadhorse, Alpine Airstrip, AK","PADE",66.0696,-162.76601
"Dillingham, Dillingham Airport, AK","PABI",63.9945,-145.722
"Delta Junction/Ft Greely, Allen Army Airfield, AK","PADL",59.0447,-158.505
"Egegik, Egegik Airport, AK","PAEG",64.7764,-141.151
"Eureka, Skelton Airport, AK","PAII",58.1855,-157.375
"Fairbanks, Fairbanks International Airport, AK","PAEM",62.7861,-164.491
"Eagle, Eagle Airport, AK","PAZK",61.93,-147.17
"Fairbanks, Eielson Air Force Base, AK","PAEI",64.6657,-147.102
"Cordova, Merle K (Mudhole) Smith Airport, AK","PAFA",64.8151,-147.856
"Fort Wainwright AAF, AK","PAFB",64.8375,-147.614
"Fort Yukon, Fort Yukon Airport, AK","PFYU",66.5715,-145.25
"Ft. Richardson / Bryant U. S. Army Heliport, Ak, AK","PAFR",61.27,-149.65
"Galena, Edward G. Pitka Sr. Airport, AK","PAGA",64.7362,-156.937
"Gambell, Gambell Airport, AK","PAGM",63.7668,-171.733
"Golovin, Golovin Airport, AK","PAGL",64.5505,-163.007
"Homer, Homer Airport, AK","PAGK",62.1549,-145.457
"Gulkana, Gulkana Airport, AK","PAGS",58.4253,-135.707
"Haines - Haines Airport, AK","PAHN",59.2438,-135.524
"Hoonah - Hoonah Seaplane Base, AK","PAHO",59.6456,-151.47701
"Iliamna, Iliamna Airport, AK","PAOH",58.0961,-135.41011
"Huslia, Huslia Airport, AK","PAHL",65.6979,-156.351
"Kake - Kake Airport, AK","PAHY",55.2,-132.83
"Igiugig, AK","PAIG",59.324,-155.90199
"Gustavus, Gustavus Airport, AK","PAIL",59.7544,-154.911
"Juneau, Juneau International Airport, AK","PAJN",58.355,-134.576
"Hydaburg - Hydaburg Seaplane Base, AK","PAFE",56.9614,-133.91
"Kalskag, AK","PALG",61.5363,-160.341
"Kenai, Kenai Municipal Airport, AK","PAKV",64.3191,-158.741
"King Salmon, King Salmon Airport, AK","PAEN",60.5731,-151.245
"Ketchikan, Ketchikan International Airport, AK","PAKT",55.3556,-131.714
"Kaltag, Kaltag Airport, AK","PAIK",66.976,-160.437
"Kinana / Bob Baker Me, AK","PAKN",58.6768,-156.649
"Kipnuk, Kipnuk Airport, AK","PAKI",59.933,-164.03101
"Marshall, AK","PAVL",67.7362,-164.563
"Kuparuk, Ugnu-Kuparuk Airport, AK","PAKW",55.5792,-133.076
"Kwethluk Airport, AK","PADQ",57.75,-152.494
