SiteNumber, SiteName, SiteLongitude, SiteLatitude, SiteNWISURL
15008000,SALMON R NR HYDER AK,-130.0669823,56.025815,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=15008000
15015595,UNUK R BL BLUE R NR WRANGELL AK,-130.8819864,56.2402062,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=15015595
15019990,TYEE LK OUTLET NR WRANGELL AK,-131.5083622,56.1996415,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=15019990
15024800,STIKINE R NR WRANGELL AK,-132.1319653,56.70772188,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=15024800
15041200,TAKU R NR JUNEAU AK,-133.7017432,58.53829828,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=15041200
15052000,LEMON C NR JUNEAU AK,-134.4226062,58.3913429,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=15052000
15052500,MENDENHALL R NR AUKE BAY AK,-134.5745592,58.4293972,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=15052500
15055500,ANTLER R BL ANTLER LK NR AUKE BAY AK,-134.710401,58.85162387,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=15055500
15056210,TAIYA R NR SKAGWAY AK,-135.3462752,59.5116183,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=15056210
15056500,CHILKAT R NR KLUKWAN AK,-135.9310198,59.41494719,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=15056500
15057596,SALMON R AT GUSTAVUS AK,-135.7418302,58.44465728,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=15057596
15058700,GOVERNMENT C NR KETCHIKAN AK,-131.7005736,55.3424302,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=15058700
15068040,LEASK CREEK AT SHELTER COVE NR KETCHIKAN AK,-131.5244658,55.51909057,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=15068040
15072000,FISH C NR KETCHIKAN AK,-131.1955833,55.3916038,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=15072000
15081497,STANEY C NR KLAWOCK AK,-133.1103222,55.8010287,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=15081497
15085100,OLD TOM C NR KASAAN AK,-132.4086268,55.3951944,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=15085100
15086225,HATCHERY C AT FOREST SVC RD 23 NR COFFMAN COVE AK,-132.9308333,55.9086111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=15086225
15087700,INDIAN R AT SITKA AK,-135.3162085,57.05297119,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=15087700
15088000,SAWMILL C NR SITKA AK,-135.2295402,57.0510267,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=15088000
15129120,ALSEK R AT DRY BAY NR YAKUTAT AK,-138.3284089,59.19026419,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=15129120
15129280,ITALIO R AB MOUTH NR YAKUTAT AK,-139.0456944,59.30202778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=15129280
15129300,DANGEROUS R AT HARLEQUIN LK OUTLET NR YAKUTAT AK,-139.019217,59.4172165,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=15129300
15129500,SITUK R NR YAKUTAT AK,-139.4941877,59.58636636,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=15129500
15200280,GULKANA R AT SOURDOUGH AK,-145.5330154,62.5203918,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=15200280
15209700,WF KENNICOTT R AT MCCARTHY AK,-142.9426256,61.43372656,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=15209700
15214000,COPPER R AT MILLION DOLLAR BRIDGE NR CORDOVA AK,-144.7467135,60.6711432,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=15214000
15215900,GLACIER R TRIB NR CORDOVA AK,-145.3806148,60.5327973,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=15215900
15225997,SOLOMON GULCH AT TOP OF FALLS NR VALDEZ AK,-146.3050704,61.0786427,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=15225997
15226620,LOWE R AB HORSETAIL FALLS NR VALDEZ AK,-145.906111,61.0670833,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=15226620
15227090,VALDEZ GLACIER R AT VALDEZ GLACIER LK NR VALDEZ AK,-146.1715833,61.14888889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=15227090
15236900,WOLVERINE C NR LAWING AK,-148.8987624,60.36995858,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=15236900
15237730,GROUSE C AT GROUSE LK OUTLET NR SEWARD AK,-149.3754835,60.19777389,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=15237730
15238648,UPPER NUKA R NR PARK BOUNDARY NR HOMER AK,-150.7054468,59.6838574,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=15238648
15238986,BATTLE C 1.0 MI AB MOUTH NR HOMER AK,-150.955177,59.76173646,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=15238986
15238990,UPPER BRADLEY R NR NUKA GLACIER NR HOMER AK,-150.704616,59.6999688,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=15238990
15239050,MF BRADLEY R NR HOMER AK,-150.7562948,59.77774568,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=15239050
15239060,MF BRADLEY R BL NF BRADLEY R NR HOMER AK,-150.8654632,59.79774138,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=15239060
15239070,BRADLEY R NR TIDEWATER NR HOMER AK,-150.8849079,59.80107399,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=15239070
15239900,ANCHOR R NR ANCHOR POINT AK,-151.7552124,59.74660897,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=15239900
15243900,SNOW R NR SEWARD AK,-149.3460397,60.2944395,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=15243900
15258000,KENAI R AT COOPER LANDING AK,-149.8099203,60.49219269,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=15258000
15261000,COOPER C AT MOUTH NR COOPER LANDING AK,-149.882711,60.4799795,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=15261000
15266110,KENAI R BL SKILAK LK OUTLET NR STERLING AK,-150.60109,60.466099,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=15266110
15266300,KENAI R AT SOLDOTNA AK,-151.0816675,60.4769289,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=15266300
15271000,SIXMILE C NR HOPE AK,-149.427443,60.82027267,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=15271000
15272502,"GLACIER C AT ALYESKA HIGHWAY AT GIRDWOOD, AK",-149.1319194,60.9616194,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=15272502
15274600,CAMPBELL C NR SPENARD AK,-149.9255337,61.1388906,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=15274600
15275100,CHESTER C AT ARCTIC BOULEVARD AT ANCHORAGE AK,-149.8974826,61.20472578,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=15275100
