SiteNumber, SiteName, SiteLongitude, SiteLatitude, SiteNWISURL
7047855,"Whiteman's Crk at Ind Dr at Jonesboro, AR",-90.6422222,35.8086111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07047855
7047942,"LAnguille River near Colt, AR",-90.8780556,35.1447222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07047942
7047950,"LAnguille River at Palestine, AR",-90.8855556,34.97277778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07047950
7047980,"White River at Elkins, AR",-94.0036111,36.0008333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07047980
7048495,"Town Branch at Armstrong St. at Fayetteville, AR",-94.1360222,36.0432583,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07048495
7048550,"West Fork White River east of Fayetteville, AR",-94.0830556,36.05388889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07048550
7048600,"White River near Fayetteville, AR",-94.0811111,36.07305556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07048600
7048780,"Richland Creek near Goshen, AR",-93.9742222,36.04855556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07048780
7049000,"War Eagle Creek near Hindsville, AR",-93.855,36.2,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07049000
7050500,"Kings River near Berryville, AR",-93.6208333,36.4272222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07050500
7053207,"Long Creek at Denver, AR",-93.3158333,36.38944444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07053207
7053250,"Yocum Creek near Oak Grove, AR",-93.3561111,36.45444444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07053250
7054410,"Bear Creek near Omaha, AR",-93.075,36.44944444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07054410
7055565,"Crooked Creek at Harrison, AR",-93.0912871,36.23257134,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07055565
7055607,"Crooked Creek at Kelly Crossing at Yellville, AR",-92.7094444,36.23027778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07055607
7055646,"Buffalo River near Boxley, AR",-93.405,35.93888889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07055646
7055660,"Buffalo River at Ponca, AR",-93.3547222,36.0225,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07055660
7055680,"Buffalo River at Pruitt, AR",-93.1377778,36.05916667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07055680
7055780,"Buffalo River at Carver Access nr Hasty, AR",-93.04275,35.98313889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07055780
7055790,"Big Creek near Mt. Judea, AR",-93.0726667,35.9386111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07055790
7055792,"Left Fork Big Creek nr Vendor, AR",-93.0668833,35.9467861,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07055792
7055875,"Richland Creek near Witts Spring, AR",-92.9288889,35.7972222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07055875
7056000,"Buffalo River near St. Joe, AR",-92.7472222,35.98305556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07056000
7056515,"Bear Creek near Silver Hill, AR",-92.7133333,35.94,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07056515
7056700,"Buffalo River near Harriet, AR",-92.5775,36.06777778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07056700
7057370,"White River near Norfork, AR",-92.3,36.2236111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07057370
7058980,"Bennetts River at Vidette, AR",-92.1183333,36.42277778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07058980
7059450,"Big Creek near Elizabeth, AR",-92.1125,36.3575,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07059450
7060500,"White River at Calico Rock, AR",-92.1430556,36.11666667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07060500
7060710,"North Sylamore Creek near Fifty Six, AR",-92.2138889,35.99166667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07060710
7060728,"White River at Allison, AR",-92.1141667,35.93916667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07060728
7061000," White River at Batesville, AR",-91.6411111,35.76027778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07061000
7064000," Black River near Corning, AR",-90.5413889,36.40194444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07064000
7064026,"Black River near Peach Orchard, AR",-90.7155278,36.3159722,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07064026
7064040,"Little River near Peach Orchard, AR",-90.6990833,36.29716667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07064040
7069000,"Black River at Pocahontas, AR",-90.9702778,36.25416667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07069000
7069190,"Mammoth Spring at Mammoth Spring, AR",-91.5355556,36.49777778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07069190
7069220,"Spring River near Mammoth Springs, AR",-91.5268073,36.46034098,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07069220
7069295,"South Fork Spring River at Saddle, AR",-91.6336111,36.3522222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07069295
7069305,"Spring River at Spring Street Bridge at Hardy, AR",-91.4827778,36.3136111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07069305
7069500,"Spring River at Imboden, AR",-91.1716667,36.20555556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07069500
7072000,"Eleven Point River near Ravenden Springs, AR",-91.1141667,36.34638889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07072000
7072500,"Black River at Black Rock, AR",-91.0977778,36.1025,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07072500
7074000," Strawberry River near Poughkeepsie, AR",-91.4494444,36.1111111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07074000
7074420,"Black River at Elgin Ferry, AR",-91.3002778,35.76555556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07074420
