SiteNumber, SiteName, SiteLongitude, SiteLatitude, SiteNWISURL
2231000,"ST. MARYS RIVER NEAR MACCLENNY, FL",-82.0815013,30.35884726,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02231000
2231291,"NASSAU RIVER NEAR TISONIA, FL",-81.5898179,30.5507931,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02231291
22313219,"S-253 WEIR UPSTREAM NEAR FORT DRUM, FL",-80.6790194,27.5909972,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=022313219
2231322,"S-253 WEIR NEAR FORT DRUM, FL",-80.6781444,27.59294167,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02231322
2231342,"FT DRUM CREEK AT SUNSHINE ST PKY NEAR FT DRUM, FL",-80.7961709,27.5686473,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02231342
2231396,"BLUE CYPRESS CREEK NEAR FELLSMERE, FL",-80.80505949,27.72808533,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02231396
2231600,"JANE GREEN CREEK NEAR DEER PARK, FL",-80.8881155,28.074462,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02231600
2232000,"ST. JOHNS RIVER NEAR MELBOURNE, FL",-80.752001,28.08473879,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02232000
2232155,"PENNYWASH CREEK NEAR DEER PARK, FL",-80.8953373,28.18195808,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02232155
2232200,"WOLF CREEK NEAR DEER PARK, FL",-80.91089309,28.2130681,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02232200
2232400,"ST. JOHNS RIVER NEAR COCOA, FL",-80.8725578,28.36972837,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02232400
2232415,"TAYLOR CREEK NEAR COCOA, FL",-80.9283928,28.3525071,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02232415
2232500,"ST. JOHNS RIVER NEAR CHRISTMAS, FL",-80.943392,28.54305529,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02232500
2233200,"LITTLE ECONLOCKHATCHEE RIVER NEAR UNION PARK, FL",-81.243956,28.5250021,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02233200
2233475,"LT ECONLOCKHATCHEE R AT STATE HWY434 NR OVIEDO, FL",-81.20784299,28.6199987,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02233475
2233484,"ECONLOCKHATCHEE RIVER NEAR OVIEDO, FL",-81.169786,28.65555285,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02233484
2233500,"ECONLOCKHATCHEE RIVER NEAR CHULUOTA, FL",-81.1141667,28.67777778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02233500
2234000,"ST. JOHNS RIVER ABOVE LAKE HARNEY NEAR GENEVA, FL",-81.0353374,28.7141611,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02234000
2234308,"HOWELL CREEK NEAR ALTAMONTE SPRINGS, FL",-81.32312349,28.6324987,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02234308
2234324,"HOWELL CREEK NEAR SLAVIA, FL",-81.2645109,28.64777587,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02234324
2234344,"HOWELL CREEK AT STATE HWY 434 NEAR OVIEDO, FL",-81.2475656,28.68999664,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02234344
2234384,"SOLDIER CREEK NEAR LONGWOOD, FL",-81.308678,28.71888466,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02234384
2234400,"GEE CREEK NEAR LONGWOOD, FL",-81.2906221,28.7041629,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02234400
2234435,"LAKE JESUP OUTLET NEAR SANFORD, FL",-81.18117379,28.78415969,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02234435
2234500,"ST. JOHNS RIVER NEAR SANFORD, FL",-81.3242323,28.83804694,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02234500
2234990,"LITTLE WEKIVA RIVER NEAR ALTAMONTE SPRINGS, FL",-81.3970138,28.6872192,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02234990
2234991,"SANLANDO SPRINGS NR LONGWOOD, FL",-81.3956248,28.6888858,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02234991
2235000,"WEKIVA RIVER NEAR SANFORD, FL",-81.41923539,28.81527009,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02235000
2235200,"BLACKWATER CREEK NEAR CASSIA, FL",-81.4897222,28.87444444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02235200
2235500,"BLUE SPRINGS NEAR ORANGE CITY, FL",-81.3397866,28.944154,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02235500
2236000,"ST. JOHNS RIVER NEAR DE LAND, FL",-81.3825651,29.00831827,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02236000
2236125,"ST. JOHNS RIVER AT ASTOR, FL",-81.5220157,29.16692445,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02236125
2236160,"SILVER GLEN SPRINGS NEAR ASTOR, FL",-81.6425767,29.24469863,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02236160
2236350,"GREEN SWAMP RUN NEAR EVA, FL",-81.6853534,28.3111212,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02236350
