SiteNumber, SiteName, SiteLongitude, SiteLatitude, SiteNWISURL
2176930,"CHATTOOGA RIVER AT BURRELLS FORD, NR PINE MTN, GA",-83.1161667,34.97452778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02176930
2177000,"CHATTOOGA RIVER NEAR CLAYTON, GA",-83.305993,34.8139814,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02177000
2178400,"TALLULAH RIVER NEAR CLAYTON, GA",-83.530441,34.89037075,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02178400
2181350,"TALLULAH R AT TERRORA PWRHSE, NR TALLULAH FALLS,GA",-83.405,34.75027778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02181350
2181580,"TALLULAH RIVER AB POWERHOUSE, NR TALLULAH FALLS,GA",-83.3757198,34.73203858,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02181580
2188600,"BEAVERDAM CREEK ABOVE ELBERTON, GA",-82.89652898,34.16872037,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02188600
2191227,"GROVE CREEK AT US 441 AND GA 15 NEAR COMMERCE, GA",-83.4676667,34.2695,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02191227
2191300,"BROAD RIVER ABOVE CARLTON, GA",-83.0033333,34.0733333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02191300
2192000,"BROAD RIVER NEAR BELL, GA",-82.77,33.97416667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02192000
2193340,"KETTLE CREEK NEAR WASHINGTON, GA",-82.857923,33.68262815,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02193340
2193500,"LITTLE RIVER NEAR WASHINGTON, GA",-82.7425,33.61277778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02193500
2195320,"KIOKEE CREEK AT GA 104, NEAR EVANS, GA",-82.23262169,33.60096698,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02195320
2195520,"SAVANNAH RIVER NEAR EVANS, GA",-82.12317459,33.5929118,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02195520
2196483,"SAVANNAH RVR AT STEVENS CREEK DAM NR MORGANA, SC",-82.0509506,33.5629124,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02196483
2196485,"AUGUSTA CANAL NR AUGUSTA, GA (UPPER)",-82.0367836,33.54930154,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02196485
2196670,"SAVANNAH RIVER JEFFERSON DAVIS BR, AT AUGUSTA, GA",-81.9570596,33.4768035,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02196670
21968385,"BUTLER CR BELOW BUTLER CR RSVR AT FORT GORDON, GA",-82.09873889,33.42509167,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=021968385
2196999,SAVANNAH RV ABOVE NEW SAV. LOCK AND DAM,-81.9420599,33.37319627,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02196999
2197000,"SAVANNAH RIVER AT AUGUSTA, GA",-81.94289329,33.3737518,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02197000
2197020,"SPIRIT CREEK AT US 1, NEAR AUGUSTA, GA",-82.1387309,33.37319577,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02197020
21973269,"SAVANNAH RIVER NEAR WAYNESBORO, GA",-81.7548354,33.14987256,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=021973269
2197500,"SAVANNAH R AT BURTONS FERRY BR NR MILLHAVEN, GA",-81.5026078,32.93904727,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02197500
2197598,"BRUSHY CREEK AT CAMPGROUND ROAD, NEAR WRENS, GA",-82.334291,33.18070175,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02197598
2197830,"BRIER CREEK NEAR WAYNESBORO, GA",-81.9637281,33.1182057,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02197830
2198000,"BRIER CREEK AT MILLHAVEN, GA",-81.6512217,32.93349199,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02198000
2198100,"BEAVERDAM CREEK NEAR SARDIS, GA",-81.8153916,32.93765809,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02198100
2198375,"SAVANNAH RIVER NEAR ESTILL, SC",-81.4283333,32.70333333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02198375
2198500,"SAVANNAH RIVER NEAR CLYO, GA",-81.26871649,32.52823709,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02198500
2198690,"EBENEZER CREEK AT SPRINGFIELD, GA",-81.2973323,32.36574688,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02198690
2198760,"SAVANNAH RIVER ABOVE HARDEEVILLE, SC",-81.1248324,32.34963773,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02198760
2198810,"ABERCORN CREEK NEAR SAVANNAH,GA",-81.1781687,32.2557537,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02198810
2198820,"ABERCORN CREEK AT MOUTH NEAR SAVANNAH, GA",-81.1536111,32.24916667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02198820
2198840,"SAVANNAH RIVER (I-95) NEAR PORT WENTWORTH, GA",-81.1512239,32.2357548,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02198840
2198920,"SAVANNAH RIVER AT GA 25, AT PORT WENTWORTH, GA",-81.1537237,32.1660358,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02198920
2198950,"MIDDLE RIVER AT GA 25 AT PORT WENTWORTH, GA",-81.1383333,32.16555556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02198950
2198955,"MIDDLE RIVER AT FISH HOLE AT PORT WENTWORTH, GA",-81.1352778,32.14277778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02198955
21989715,"SAVANNAH RIVER AT GARDEN CITY, GA",-81.1292789,32.11576075,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=021989715
21989773,"SAVANNAH RIVER AT USACE DOCK, AT SAVANNAH, GA",-81.081223,32.08104119,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=021989773
21989784,"L BACK RIVER ABOVE LUCKNOW CANAL, NR LIMEHOUSE, SC",-81.11789,32.18575747,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=021989784
21989791,"LITTLE BACK RIVER AT F&W DOCK, NEAR LIMEHOUSE, SC",-81.1181677,32.1707582,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=021989791
21989792,"LITTLE BACK RIVER AT GA 25 AT PORT WENTWORTH, GA",-81.13,32.16583333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=021989792
21989793,"LITTLE BACK RIVER AT HOG ISLAND, NEAR SAVANNAH, GA",-81.1219444,32.13666667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=021989793
219897945,"BACK RIVER 0.4 MI DOWNSTREAM US17, NR SAVANNAH, GA",-81.0827778,32.09777778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=0219897945
219897993,"SAVANNAH RIVER AT ELBA ISLAND, NEAR SAVANNAH, GA",-81.0069444,32.10305556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=0219897993
2198980,"SAVANNAH RIVER AT FORT PULASKI, GA",-80.9031665,32.0341019,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02198980
