SiteNumber, SiteName, SiteLongitude, SiteLatitude, SiteNWISURL
3336645,"MIDDLE FORK VERMILION RIVER ABOVE OAKWOOD, IL",-87.74585779,40.1369806,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03336645
3336890,"SPOON RIVER NEAR ST. JOSEPH, IL",-88.0275,40.16416667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03336890
3336900,"SALT FORK NEAR ST. JOSEPH, IL",-88.0341667,40.14944444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03336900
3337000,"BONEYARD CREEK AT URBANA, IL",-88.2264375,40.1111428,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03337000
3337100,"BONEYARD CREEK AT LINCOLN AVE AT URBANA, IL",-88.2194444,40.11138889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03337100
3337570,"SALINE BRANCH ABOVE 1700E NEAR URBANA, IL",-88.15138889,40.12888889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03337570
3338780,"NORTH FORK VERMILION RIVER NEAR BISMARCK, IL",-87.6427989,40.26531416,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03338780
3339000,"VERMILION RIVER NEAR DANVILLE, IL",-87.5972419,40.10087009,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03339000
3343400,"EMBARRAS RIVER NEAR CAMARGO, IL",-88.18559909,39.79142137,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03343400
3345500,"EMBARRAS RIVER AT STE. MARIE, IL",-88.0225351,38.93643266,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03345500
3346000,"NORTH FORK EMBARRAS RIVER NEAR OBLONG, IL",-87.9455882,39.01004218,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03346000
3346500,"EMBARRAS RIVER AT LAWRENCEVILLE, IL",-87.6644444,38.7236111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03346500
3377500,"WABASH RIVER AT MT. CARMEL, IL",-87.75638889,38.3983333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03377500
3378000,"BONPAS CREEK AT BROWNS, IL",-87.9755884,38.3864372,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03378000
3378635,"LITTLE WABASH RIVER NEAR EFFINGHAM, IL",-88.5942179,39.10393125,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03378635
3379500,"LITTLE WABASH RIVER BELOW CLAY CITY, IL",-88.2972663,38.63477048,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03379500
