SiteNumber, SiteName, SiteLongitude, SiteLatitude, SiteNWISURL
3274650,"WHITEWATER RIVER NEAR ECONOMY, IN",-85.1155201,40.00421314,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03274650
3275000,"WHITEWATER RIVER NEAR ALPINE, IN",-85.158019,39.5794928,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03275000
3275500,"EAST FORK WHITEWATER RIVER AT RICHMOND, IN",-84.907183,39.80671459,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03275500
3275600,"EAST FORK WHITEWATER RIVER AT ABINGTON, IN",-84.9596837,39.7325477,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03275600
3275990,"BROOKVILLE LAKE AT BROOKVILLE, IN",-85.0027377,39.44088406,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03275990
3276000,"EAST FORK WHITEWATER RIVER AT BROOKVILLE, IN",-85.0032932,39.43393969,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03276000
3276500,"WHITEWATER RIVER AT BROOKVILLE, IN",-85.01288889,39.4074722,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03276500
3276650,"TANNERS CREEK AT LAWRENCEBURG, IN",-84.8620556,39.0956111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03276650
3291780,"INDIAN-KENTUCK CREEK NEAR CANAAN, IN",-85.2571788,38.8781136,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03291780
3294000,"SILVER CREEK NEAR SELLERSBURG, IN",-85.7263521,38.3706226,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03294000
3302220,"BUCK CREEK NEAR NEW MIDDLETOWN, IN",-86.0880244,38.12034748,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03302220
3302680,"WEST FORK BLUE RIVER AT SALEM, IN",-86.0944222,38.60533536,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03302680
3302800,"BLUE RIVER AT FREDERICKSBURG, IN",-86.1916446,38.43394965,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03302800
3302849,"WHISKEY RUN AT MARENGO, IN",-86.344703,38.37561629,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03302849
3303000,"BLUE RIVER NEAR WHITE CLOUD, IN",-86.2283078,38.23756614,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03303000
3303280,"OHIO RIVER AT CANNELTON DAM AT CANNELTON, IN",-86.70554179,37.89950088,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03303280
3303300,"MIDDLE FORK ANDERSON RIVER AT BRISTOW, IN",-86.7210994,38.13894629,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03303300
3304300,"OHIO RIVER AT NEWBURGH LOCK AND DAM, IN",-87.3750073,37.92837769,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03304300
