SiteNumber, SiteName, SiteLongitude, SiteLatitude, SiteNWISURL
4001000,"WASHINGTON CREEK AT WINDIGO, MI",-89.1459197,47.9212792,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04001000
4031000,"BLACK RIVER NEAR BESSEMER, MI",-90.0746179,46.5113361,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04031000
4032000,"PRESQUE ISLE RIVER NEAR TULA, MI",-89.7772222,46.5472222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04032000
4033000,"MIDDLE BRANCH ONTONAGON RIVER NEAR PAULDING, MI",-89.0765285,46.3568916,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04033000
4035995,"LAKE GOGEBIC NEAR BERGLAND, MI",-89.547931,46.5885582,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04035995
4036000,"WEST BRANCH ONTONAGON RIVER NEAR BERGLAND, MI",-89.5418197,46.5874471,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04036000
4037400,"CISCO LAKE NEAR WATERSMEET, MI",-89.4520913,46.2527262,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04037400
4037500,"CISCO BRANCH ONTONAGON R AT CISCO LAKE OUTLET, MI",-89.4515357,46.25328179,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04037500
4040000,"ONTONAGON RIVER NEAR ROCKLAND, MI",-89.207086,46.7207742,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04040000
4040500,"STURGEON RIVER NEAR SIDNAW, MI",-88.5759697,46.58410589,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04040500
4041500,"STURGEON RIVER NEAR ALSTON, MI",-88.6620789,46.72632347,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04041500
4043050,"TRAP ROCK RIVER NEAR LAKE LINDEN, MI",-88.3853928,47.22853637,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04043050
4043097,"FALLS RIVER NEAR L'ANSE, MI",-88.4431868,46.7346552,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04043097
4043150,"SILVER RIVER NEAR L'ANSE, MI",-88.3170724,46.80409698,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04043150
4043238,"SALMON TROUT RIVER NEAR BIG BAY, MI",-87.8776299,46.78214818,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04043238
4043244,"EAST BRANCH SALMON TROUT RIVER NEAR DODGE CITY, MI",-87.8523522,46.7857589,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04043244
4044003,"DEAD RIVER AT MARQUETTE, MI",-87.4103611,46.5716944,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04044003
