SiteNumber, SiteName, SiteLongitude, SiteLatitude, SiteNWISURL
5014300,Swiftcurrent Cr ab Swiftcurrent Lk at Many Glacier,-113.6805833,48.7954444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05014300
5014500,Swiftcurrent Creek at Many Glacier MT,-113.6567306,48.7988333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05014500
5017500,St. Mary River near Babb MT,-113.4206533,48.83303718,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05017500
5018000,St. Mary Canal at intake near Babb MT,-113.4169444,48.85277778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05018000
5018500,St. Mary Canal at St. Mary Crossing near Babb MT,-113.3753306,48.94696667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05018500
5020500,St. Mary River at International Boundary,-113.2995472,49.0114083,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05020500
6006000,Red Rock Cr ab Lakes nr Lakeview MT,-111.6567472,44.61703056,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06006000
6012500,Red Rock R bl Lima Reservoir nr Monida MT,-112.3712222,44.65588056,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06012500
6016000,Beaverhead River at Barretts MT,-112.7504944,45.11612778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06016000
6017000,Beaverhead River at Dillon MT,-112.6553333,45.2183833,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06017000
6018500,Beaverhead River near Twin Bridges MT,-112.4528306,45.38338889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06018500
6019500,"Ruby River above reservoir near Alder, MT",-112.1428167,45.1923194,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06019500
6020600,"Ruby River below reservoir near Alder, MT",-112.1112389,45.2418694,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06020600
6023000,Ruby River near Twin Bridges MT,-112.3308889,45.50691389,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06023000
6023100,"Beaverhead River at Twin Bridges, MT",-112.338111,45.54688889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06023100
6023500,Big Hole River near Jackson MT,-113.45715,45.24579167,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06023500
6023800,Big Hole River ab Spring Creek nr Jackson MT,-113.4409667,45.36098056,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06023800
6024020,Big Hole River at Miner Creek nr Jackson MT,-113.4493944,45.42286389,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06024020
6024450,Big Hole River bl Big Lake Cr at Wisdom MT,-113.4569417,45.61796667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06024450
6024540,Big Hole River bl Mudd Cr nr Wisdom MT,-113.3132694,45.80754167,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06024540
6024580,Big Hole River near Wise River MT,-113.068361,45.8508222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06024580
6025250,Big Hole River at Maiden Rock nr Divide MT,-112.7359694,45.7012694,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06025250
6025500,Big Hole River near Melrose MT,-112.701725,45.52658056,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06025500
6026210,Big Hole River near Glen MT,-112.5560917,45.4400944,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06026210
6026420,"Big Hole R bl Hamilton Ditch nr Twin Bridges, MT",-112.360675,45.5500222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06026420
6026500,Jefferson River near Twin Bridges MT,-112.3293972,45.6132833,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06026500
6027600,"Jefferson River at Parsons Bdg nr Silver Star, MT",-112.1872278,45.74750278,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06027600
6033000,Boulder River near Boulder MT,-112.09165,46.21103056,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06033000
6035000,Willow Creek near Harrison MT,-111.741025,45.7230583,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06035000
6036650,Jefferson River near Three Forks MT,-111.5956722,45.8971361,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06036650
6036805,"Firehole River at Old Faithful, YNP",-110.8222722,44.4593333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06036805
6036905,Firehole River near West Yellowstone MT,-110.8635028,44.6201833,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06036905
6036940,"Tantalus Creek at Norris Junction, YNP",-110.7132528,44.732725,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06036940
6037100,"Gibbon River at Madison Jct, YNP",-110.8610639,44.6408,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06037100
6037500,"Madison River near West Yellowstone, MT",-111.0679639,44.6570722,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06037500
6038500,Madison River bl Hebgen Lake nr Grayling MT,-111.3387806,44.86639167,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06038500
6038800,Madison River at Kirby Ranch nr Cameron MT,-111.580886,44.88865556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06038800
6040000,Madison River near Cameron MT,-111.7516333,45.2331333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06040000
6040800,Madison River ab powerplant nr McAllister MT,-111.6338583,45.4865944,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06040800
6041000,Madison River bl Ennis Lake nr McAllister MT,-111.6345056,45.49023056,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06041000
6043500,"Gallatin River near Gallatin Gateway, MT",-111.2707083,45.4973,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06043500
6048650,E Gallatin R ab Water Reclamation Fa nr Bozeman MT,-111.0661944,45.72566667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06048650
6050000,Hyalite C at Hyalite R S nr Bozeman MT,-111.071125,45.56146667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06050000
6052500,Gallatin River at Logan MT,-111.438286,45.88535556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06052500
6054500,Missouri River at Toston MT,-111.4202778,46.1465722,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06054500
6061500,Prickly Pear Creek near Clancy MT,-111.946786,46.5190972,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06061500
