SiteNumber, SiteName, SiteLongitude, SiteLatitude, SiteNWISURL
6453600,"Ponca Creek at Verdel, Nebr.",-98.1758333,42.8111111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06453600
6453620,"Missouri River blw Ponca Creek nr Verdel, Nebr.",-98.0619444,42.7709722,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06453620
6461500,"Niobrara River near Sparks, Nebr.",-100.3622222,42.9022222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06461500
6463500,"Long Pine Creek near Riverview, Nebr.",-99.6788889,42.68944444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06463500
6463720,"Niobrara River at Mariaville, Nebr.",-99.3397222,42.78055556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06463720
6465500,"Niobrara River near Verdel, Nebr.",-98.2227778,42.7397222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06465500
6465700,"Verdigre Creek near Verdigre, Nebr.",-98.0433333,42.65444444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06465700
6466000,"Niobrara River at Niobrara, Nebr.",-98.058,42.74844444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06466000
6466010,"Missouri River at Niobrara, Nebr.",-98.0281268,42.76166746,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06466010
6466400,"Bazile Creek at Center, Nebr.",-97.8780556,42.61638889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06466400
6466470,"Howe Creek below Walker Draw near Center, Nebr.",-97.8538611,42.67321667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06466470
6466500,"Bazile Creek near Niobrara, Nebr.",-97.9225,42.7322222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06466500
6478522,"Bow Creek near Wynot, Nebr.",-97.1725667,42.76527778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06478522
6478523,"MISSOURI RIVER NR ST. JAMES, NE",-97.0822699,42.7611088,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06478523
6478526,"Missouri River near Maskell, Nebr.",-96.9436111,42.71469444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06478526
6600900,"South Omaha Creek at Walthill, Nebr.",-96.4833333,42.14805556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06600900
