SiteNumber, SiteName, SiteLongitude, SiteLatitude, SiteNWISURL
7202500,"EAGLE TAIL DITCH NR MAXWELL, NM",-104.5591556,36.64864167,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07202500
7203000,"VERMEJO RIVER NEAR DAWSON, NM",-104.7863944,36.68102778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07203000
7206000,"CIMARRON RIVER BELOW EAGLE NEST DAM, NM",-105.2281444,36.532125,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07206000
7207000,"CIMARRON RIVER NEAR CIMARRON, NM",-104.9786111,36.5198333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07207000
7207500,"PONIL CREEK NEAR CIMARRON, NM",-104.9468056,36.57369444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07207500
7208500,"RAYADO CREEK NEAR CIMARRON, NM",-104.9692889,36.37234444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07208500
7211500,"CANADIAN RIVER NEAR TAYLOR SPRINGS, NM",-104.4954722,36.29756944,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07211500
7214470,"SIERRA DITCH NEAR CHACON, NM",-105.4063889,36.1833333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07214470
7214670,"CANONCITO DITCH NEAR HOLMAN, NM",-105.4575,36.05002778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07214670
7214680,"LA SIERRA DITCH NEAR HOLMAN, NM",-105.454575,36.05026667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07214680
7215500,"MORA RIVER AT LA CUEVA, NM",-105.2557333,35.94511667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07215500
7216500,"MORA RIVER NEAR GOLONDRINAS, NM",-105.1636194,35.8908722,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07216500
7218000,"COYOTE CREEK NEAR GOLONDRINAS, NM",-105.1640833,35.9165222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07218000
7221500,"CANADIAN RIVER NEAR SANCHEZ, NM",-104.3786111,35.6548333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07221500
7223500,CONCHAS LAKE AT CONCHAS DAM N. MEX.,-104.1908083,35.402825,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07223500
7226500,"UTE CREEK NEAR LOGAN, NM",-103.5257944,35.43852778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07226500
7227000,"CANADIAN RIVER AT LOGAN, NM",-103.3997222,35.35,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07227000
7227100,"REVUELTO CREEK NEAR LOGAN, NM",-103.3896056,35.3443861,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07227100
8252500,"COSTILLA CREEK ABOVE COSTILLA DAM, NM",-105.2546667,36.8983611,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=08252500
8253000,"CASIAS CREEK NEAR COSTILLA, NM",-105.2604583,36.89685556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=08253000
8253500,"SANTISTEVAN CREEK NEAR COSTILLA, NM",-105.2811111,36.88416667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=08253500
8254000,"COSTILLA CREEK BELOW COSTILLA DAM, NM",-105.2836667,36.87280556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=08254000
8255500,"COSTILLA CREEK NEAR COSTILLA, NM",-105.5071111,36.9668611,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=08255500
8263500,"RIO GRANDE NEAR CERRO, NM",-105.6834417,36.74001667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=08263500
8265000,"RED RIVER NEAR QUESTA, NM",-105.5684306,36.7033111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=08265000
8266820,"RED RIVER BELOW FISH HATCHERY, NEAR QUESTA, NM",-105.6541222,36.68283889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=08266820
8267500,"RIO HONDO NEAR VALDEZ, NM",-105.5565222,36.5417972,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=08267500
8269000,"RIO PUEBLO DE TAOS NEAR TAOS, NM",-105.5036111,36.43944444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=08269000
8271000,"RIO LUCERO NEAR ARROYO SECO, NM",-105.5309639,36.50828889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=08271000
8275500,"RIO GRANDE DEL RANCHO NEAR TALPA, NM",-105.5810028,36.30310278,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=08275500
8276300,"RIO PUEBLO DE TAOS BELOW LOS CORDOVAS, NM",-105.6678333,36.3793333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=08276300
8276500,"RIO GRANDE BLW TAOS JUNCTION BRIDGE NEAR TAOS, NM",-105.7544444,36.3200333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=08276500
8277470,"RIO PUEBLO NR PENASCO, NM",-105.6027889,36.16846667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=08277470
8279000,"EMBUDO CREEK AT DIXON, NM",-105.9136306,36.21085556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=08279000
8279500,"RIO GRANDE AT EMBUDO, NM",-105.9639722,36.20555556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=08279500
8281400,"RIO CHAMA ABOVE CHAMA, NM",-106.5552122,36.93495625,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=08281400
8282300,"RIO BRAZOS AT FISHTAIL ROAD NR TIERRA AMARILLA, NM",-106.4707722,36.7379333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=08282300
8284100,"RIO CHAMA NEAR LA PUENTE, NM",-106.6333667,36.6626583,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=08284100
8285500,"RIO CHAMA BELOW EL VADO DAM, NM",-106.7247667,36.5803833,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=08285500
8286500,"RIO CHAMA ABOVE ABIQUIU RESERVOIR, NM",-106.5995306,36.3188222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=08286500
8286900,ABIQUIU RESERVOIR NEAR ABIQUIU N MEX,-106.4294444,36.24,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=08286900
8287000,"RIO CHAMA BELOW ABIQUIU DAM, NM",-106.4174167,36.2372222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=08287000
8289000,"RIO OJO CALIENTE AT LA MADERA, NM",-106.0441861,36.34974167,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=08289000
8290000,"RIO CHAMA NEAR CHAMITA, NM",-106.1116944,36.07355556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=08290000
8291000,"SANTA CRUZ RIVER NEAR CUNDIYO, NM",-105.9047222,35.9647222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=08291000
8294195,"RIO NAMBE ABOVE NAMBE FALLS DAM NEAR NAMBE, NM",-105.8944444,35.85005556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=08294195
8294210,"RIO NAMBE BELOW NAMBE FALLS DAM NEAR NAMBE, NM",-105.9097222,35.8461111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=08294210
8302500,"TESUQUE CREEK ABOVE DIVERSIONS NEAR SANTA FE, NM",-105.9049528,35.73955556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=08302500
8308050,"RIO TESUQUE BELOW DIVERSIONS NEAR SANTA FE, NM",-105.9412,35.77151667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=08308050
8313000,"RIO GRANDE AT OTOWI BRIDGE, NM",-106.1424444,35.8745,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=08313000
8313150,"Rio Grande abv Buckman Diversion, nr White Rock,NM",-106.1590833,35.83841667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=08313150
8313350,"RITO DE LOS FRIJOLES IN BANDELIER NAT MON, NM",-106.2683333,35.77638889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=08313350
8313500,"COCHITI EAST SIDE MAIN CANAL AT COCHITI, NM",-106.3241667,35.617,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=08313500
8314000,"SILE MAIN CANAL (AT HEAD) AT COCHITI, NM",-106.3246944,35.6195,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=08314000
8315480,"SANTA FE RIVER ABOVE MCCLURE RES, NR SANTA FE, NM",-105.8228333,35.68891667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=08315480
8316000,"SANTA FE RIVER NEAR SANTA FE, NM",-105.8436111,35.68644444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=08316000
8317200,"SANTA FE RIVER ABOVE COCHITI LAKE, NM",-106.2288889,35.5472222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=08317200
