SiteNumber, SiteName, SiteLongitude, SiteLatitude, SiteNWISURL
2043433,"CURRITUCK SOUND ON EAST BANK AT COROLLA, NC",-75.8344444,36.37444444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02043433
204382800,"PASQUOTANK RIVER NEAR SOUTH MILLS, NC",-76.3425,36.42138889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=0204382800
2053200,"POTECASI CREEK NEAR UNION, NC",-77.0255556,36.3708333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02053200
2053500,"AHOSKIE CREEK AT AHOSKIE, NC",-76.9994444,36.28027778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02053500
2068500,"DAN RIVER NEAR FRANCISCO, NC",-80.3030556,36.515,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02068500
2069000,"DAN RIVER AT PINE HALL, NC",-80.0500424,36.31930349,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02069000
2070500,"MAYO RIVER NEAR PRICE, NC",-79.99138889,36.53388889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02070500
2071000,"DAN RIVER NEAR WENTWORTH, NC",-79.8261111,36.4125,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02071000
2074000,"SMITH RIVER AT EDEN, NC",-79.7655556,36.52555556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02074000
2077200,"HYCO CREEK NEAR LEASBURG, NC",-79.1966667,36.39777778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02077200
2077280,"HYCO LAKE AT DAM NR ROXBORO, NC",-79.0472222,36.51166667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02077280
207730290,"AFTERBAY RESERVOIR AT DAM NR MCGEHEES MILL, NC",-78.9975,36.5225,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=0207730290
