SiteNumber, SiteName, SiteLongitude, SiteLatitude, SiteNWISURL
9180000,"DOLORES RIVER NEAR CISCO, UT",-109.1951142,38.79720805,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09180000
9180500,"COLORADO RIVER NEAR CISCO, UT",-109.2934493,38.81054095,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09180500
9183500,"MILL CREEK AT SHELEY TUNNEL, NEAR MOAB, UT",-109.4040043,38.4830403,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09183500
9183600,"MILL CREEK BELOW SHELEY TUNNEL, NEAR MOAB, UT",-109.4111044,38.48571796,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09183600
9185100,"MILL CREEK BLW PACK CREEK NR MOUTH AT MOAB, UT",-109.5672083,38.5732861,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09185100
9185600,"COLORADO RIVER AT POTASH, UT",-109.6583333,38.5047222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09185600
9229500,"HENRYS FORK NEAR MANILA, UT",-109.6735,41.011,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09229500
9234500,"GREEN RIVER NEAR GREENDALE, UT",-109.422914,40.90829296,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09234500
9261000,"GREEN RIVER NEAR JENSEN, UT",-109.2354043,40.40940757,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09261000
9261700,"BIG BRUSH CRK ABV RED FLEET RES, NR VERNAL, UT",-109.4654138,40.58884837,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09261700
9272400,"GREEN RIVER AT OURAY, UTAH",-109.676805,40.084686,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09272400
9277500,"DUCHESNE RIVER NEAR TABIONA, UT",-110.602381,40.30023027,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09277500
9279000,"ROCK CREEK NEAR MOUNTAIN HOME, UT",-110.5782169,40.4932799,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09279000
9285900,"STRAWBERRY RIVER AT PINNACLES NEAR FRUITLAND, UT",-110.7418242,40.1271783,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09285900
9288000,"CURRANT CREEK NEAR FRUITLAND, UT",-110.9076623,40.20023128,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09288000
9288180,"STRAWBERRY RIVER NEAR DUCHESNE, UT",-110.5548785,40.1546793,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09288180
9289500,"LAKE FORK RIVER AB MOON LAKE, NR MOUNTAIN HOME, UT",-110.5271066,40.6066125,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09289500
9291000,"LAKE FORK RIVER BL MOON LAKE NR MOUNTAIN HOME, UT",-110.4846056,40.55633555,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09291000
9292000,"YELLOWSTONE R @ BRIDGE CMPGRND NR ALTONAH, UT",-110.333771,40.5463369,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09292000
9292500,"YELLOWSTONE RIVER NEAR ALTONAH, UT",-110.3415491,40.51189299,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09292500
9295000,"DUCHESNE RIVER AT MYTON, UT",-110.0637613,40.20023757,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09295000
9295100,"DUCHESNE RIV ABV UINTA RIV, NR RANDLETT, UT",-109.8598673,40.2066278,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09295100
9296800,"UINTA R BLW POWERPLANT DIVERSION, NR NEOLA, UT",-110.1143226,40.5913396,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09296800
9299500,"WHITEROCKS RIVER NEAR WHITEROCKS, UT",-109.9323739,40.5935653,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09299500
9301500,"UINTA RIVER AT RANDLETT, UT",-109.8037549,40.23357228,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09301500
9302000,"DUCHESNE RIVER NEAR RANDLETT, UT",-109.7813889,40.21027778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09302000
9306500,"WHITE RIVER NEAR WATSON, UTAH",-109.1787269,39.97885629,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09306500
9309600,"FAIRVIEW TUNNEL NEAR FAIRVIEW, UT",-111.3121238,39.6674624,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09309600
9310500,"FISH CREEK ABOVE RESERVOIR, NEAR SCOFIELD, UT",-111.191006,39.77440566,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09310500
9310700,"MUD CRK BL WINTER QUARTERS CYN @ SCOFIELD, UT",-111.1612827,39.7216289,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09310700
9312600,"WHITE R BL TABBYUNE CRK NR SOLDIER SUMMIT, UT",-111.0373878,39.8757928,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09312600
9314500,"PRICE RIVER AT WOODSIDE, UT",-110.3427778,39.26444444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09314500
9315000,"GREEN RIVER AT GREEN RIVER, UT",-110.1512475,38.9860831,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09315000
9319000,"EPHRAIM TUNNEL NEAR EPHRAIM, UT",-111.4315745,39.3296855,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09319000
9326500,"FERRON CREEK (UPPER STATION) NEAR FERRON, UT",-111.2165589,39.10413724,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09326500
9328500,"SAN RAFAEL RIVER NEAR GREEN RIVER, UT",-110.3701469,38.8583081,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09328500
9328910,"SAN RAFAEL RIVER AT MOUTH NEAR GREEN RIVER, UT",-110.1435278,38.7577611,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09328910
9328920,GREEN RIVER AT MINERAL BOTTOM NR CYNLNDS NTL PARK,-109.9944167,38.52402778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09328920
9328990,"Colorado River ab Dirty Devil River nr Hite, UT",-110.3708361,37.89146944,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09328990
9329050,"SEVEN MILE CREEK NEAR FISH LAKE, UT",-111.6479647,38.62775234,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09329050
9330000,"FREMONT RIVER NEAR BICKNELL, UT",-111.5187917,38.3069248,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09330000
9330500,"MUDDY CREEK NEAR EMERY, UT",-111.253886,38.99105556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09330500
9333500,DIRTY DEVIL R AB POISON SP WSH NR HANKSVILLE UT,-110.4073639,38.0941529,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09333500
9337000,"PINE CREEK NEAR ESCALANTE, UT",-111.6360113,37.86248747,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09337000
9337500,"ESCALANTE RIVER NEAR ESCALANTE, UT",-111.5746181,37.77804389,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09337500
9378170,"SOUTH CREEK ABOVE RESERVOIR NEAR MONTICELLO, UT",-109.3695625,37.8466608,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09378170
9378630,"RECAPTURE CREEK NEAR BLANDING, UT",-109.476511,37.7555504,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09378630
9379500,"SAN JUAN RIVER NEAR BLUFF, UT",-109.8666889,37.15067778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09379500
9381800,"PARIA RIVER NEAR KANAB, UTAH",-111.9060102,37.10748428,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09381800
9403600,"KANAB CREEK NEAR KANAB, UT",-112.5479827,37.10054059,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09403600
9404450,"EAST FORK VIRGIN RIVER NEAR GLENDALE, UT",-112.6043769,37.3394272,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09404450
9404900,"EAST FORK VIRGIN RIVER NEAR SPRINGDALE, UT",-112.9585499,37.16414955,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09404900
9405500,"NORTH FORK VIRGIN RIVER NEAR SPRINGDALE, UT",-112.9785512,37.2097046,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09405500
9406000,"VIRGIN RIVER AT VIRGIN, UT",-113.1807789,37.2041494,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09406000
9406100,"VIRGIN RIVER AB LA VERKIN CREEK NR LA VERKIN, UT",-113.285226,37.1969272,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09406100
9408000,"LEEDS CREEK NEAR LEEDS, UT",-113.3707839,37.26748174,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09408000
9408135,"VIRGIN RIVER AB QUAIL CREEK NEAR HURRICANE, UT",-113.3532832,37.19248238,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09408135
9408150,"VIRGIN RIVER NEAR HURRICANE, UT",-113.3952285,37.16276007,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09408150
9408195,"FORT PEARCE WASH NEAR ST. GEORGE, UT",-113.4688407,37.00164939,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09408195
9408400,"SANTA CLARA RIVER NEAR PINE VALLEY, UT",-113.483288,37.38331325,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09408400
9409100,"SANTA CLARA RIVER ABV BAKER RES, NR CENTRAL, UT",-113.6319052,37.38470108,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09409100
9410100,"SANTA CLARA RIV BLW WINSOR DAM, NR SANTA CLARA, UT",-113.7680556,37.19,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09410100
9413000,"SANTA CLARA RIVER AT ST. GEORGE, UT",-113.5930125,37.07525867,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09413000
9413200,"VIRGIN RIVER NEAR BLOOMINGTON, UT",-113.5838889,37.07,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09413200
9413500,"VIRGIN RIVER NEAR ST. GEORGE, UT",-113.6805163,37.0144243,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09413500
9413900,"BEAVER DAM WASH NEAR ENTERPRISE, UT",-114.0466458,37.46997485,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09413900
10010000,"GREAT SALT LAKE AT SALTAIR BOAT HARBOR, UT",-112.2135569,40.73133329,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10010000
10010020,"GSL BREACH AT LAKESIDE, UT",-112.8499782,41.2224304,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10010020
10010025,"GSL BREACH 6 MILES E OF LAKESIDE, UT; S TO N FLOW",-112.7663889,41.2208611,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10010025
10010100,"GREAT SALT LAKE NEAR SALINE, UT",-112.496903,41.25521065,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10010100
10020100,"BEAR RIVER ABOVE RESERVOIR, NEAR WOODRUFF, UT",-111.0176863,41.4343899,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10020100
10020300,"BEAR RIVER BELOW RESERVOIR, NEAR WOODRUFF, UT",-111.0146317,41.505501,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10020300
10023000,"BIG CREEK NEAR RANDOLPH, UT",-111.2540876,41.60994177,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10023000
10092700,BEAR RIVER AT IDAHO-UTAH STATE LINE,-111.92134,42.0129808,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10092700
10105900,"LITTLE BEAR RIVER AT PARADISE, UT",-111.8552203,41.5754898,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10105900
10108400,"CACHE HIGHLINE CANAL NEAR LOGAN, UTAH",-111.761886,41.74298686,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10108400
10109000,"LOGAN RIVER ABOVE STATE DAM, NEAR LOGAN, UT",-111.78272,41.74326439,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10109000
10113500,"BLACKSMITH FORK AB UP and L CO.'S DAM NR HYRUM, UT",-111.7388286,41.6235452,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10113500
