SiteNumber, SiteName, SiteLongitude, SiteLatitude, SiteNWISURL
1484746,"CHINCOTEAGUE BAY INLET AT CHINCOTEAGUE, VA",-75.40788889,37.90238889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01484746
1484812,"NASSAWADOX CREEK AB CHURCH CRK NR SILVER BEACH, VA",-75.9352222,37.4763333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01484812
1484938,"STARLING CREEK AT PORT OF SAXIS AT SAXIS, VA",-75.72753889,37.91882778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01484938
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",-78.2880592,39.2145479,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01613900
1615000,"OPEQUON CREEK NEAR BERRYVILLE, VA",-78.0783333,39.1747222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01615000
1616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",-78.0686306,39.19259167,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01616100
1620500,"NORTH RIVER NEAR STOKESVILLE, VA",-79.2391667,38.335,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01620500
1621050,"MUDDY CREEK AT MOUNT CLINTON, VA",-78.96030749,38.48679008,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01621050
1622000,"NORTH RIVER NEAR BURKETOWN, VA",-78.9136385,38.3404051,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01622000
1622464,"MIDDLE RIVER ABOVE ROUTE 250 NEAR CHURCHVILLE, VA",-79.1341944,38.2085833,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01622464
162246784,"BUCKHORN CREEK ABOVE RT 250 NR LONE FOUNTAIN, VA",-79.2374722,38.28538889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=0162246784
1625000,"MIDDLE RIVER NEAR GROTTOES, VA",-78.8619703,38.26179616,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01625000
162588350,"SOUTH FORK BACK CREEK AT RT 814 NEAR SHERANDO, VA",-78.9873056,37.9218611,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=0162588350
1626000,"SOUTH RIVER NEAR WAYNESBORO, VA",-78.90807949,38.0576362,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01626000
