SiteNumber, SiteName, SiteLongitude, SiteLatitude, SiteNWISURL
12010000,"NASELLE RIVER NEAR NASELLE, WA",-123.743482,46.3739937,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12010000
12013500,"WILLAPA RIVER NEAR WILLAPA, WA",-123.6526584,46.65093418,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12013500
12020000,"CHEHALIS RIVER NEAR DOTY, WA",-123.277644,46.6173236,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12020000
12020525,"ELK CREEK BELOW DEER CREEK NEAR DOTY, WA",-123.2968119,46.6345457,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12020525
12020800,"SOUTH FORK CHEHALIS RIVER NEAR WILDWOOD, WA",-123.0837376,46.44482815,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12020800
12021800,"CHEHALIS RIVER NEAR ADNA, WA",-123.1018009,46.6256583,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12021800
12024000,"SOUTH FORK NEWAUKUM RIVER NEAR ONALASKA, WA",-122.6851159,46.57566178,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12024000
12024400,"NF NEWAUKUM RIVER ABOVE BEAR CREEK NEAR FOREST, WA",-122.7701209,46.66732635,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12024400
12025000,"NEWAUKUM RIVER NEAR CHEHALIS, WA",-122.945126,46.6201042,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12025000
12025100,"CHEHALIS RIVER AT WWTP AT CHEHALIS, WA",-122.9840182,46.66093665,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12025100
12025700,"SKOOKUMCHUCK RIVER NEAR VAIL, WA",-122.5940086,46.77260276,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12025700
12026150,"SKOOKUMCHUCK RIVER BL BLDY RUN CR NR CENTRALIA, WA",-122.7354019,46.79010157,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12026150
12026400,"SKOOKUMCHUCK RIVER NEAR BUCODA, WA",-122.924298,46.7720459,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12026400
12027500,"CHEHALIS RIVER NEAR GRAND MOUND, WA",-123.0356919,46.7759343,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12027500
12028060,"CHEHALIS RIVER NEAR ROCHESTER, WA",-123.1201409,46.8067665,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12028060
12031000,"CHEHALIS RIVER AT PORTER, WA",-123.3143194,46.93926375,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12031000
12035000,"SATSOP RIVER NEAR SATSOP, WA",-123.4948838,47.0006512,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12035000
12035100,"CHEHALIS RIVER NEAR MONTESANO, WA",-123.6046072,46.96231778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12035100
12035400,"WYNOOCHEE RIVER NEAR GRISDALE, WA",-123.6098916,47.38036689,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12035400
12035450,"BIG CREEK NEAR GRISDALE, WA",-123.6368365,47.37425567,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12035450
12036000,"WYNOOCHEE RIVER ABOVE SAVE CREEK NEAR ABERDEEN, WA",-123.6532235,47.2989784,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12036000
12037400,"WYNOOCHEE RIVER ABOVE BLACK CREEK NR MONTESANO, WA",-123.6554417,47.0114831,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12037400
12039005,"HUMPTULIPS RIVER BELOW HWY 101 NR HUMPTULIPS, WA",-123.974063,47.23147599,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12039005
12039500,"QUINAULT RIVER AT QUINAULT LAKE, WA",-123.8893446,47.4575863,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12039500
12039510,"COOK CREEK BLW HATCHERY NEAR QUINAULT, WA",-123.9939889,47.358325,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12039510
1203951610,"QUINAULT RIVER NEAR TAHOLAH, WA",-124.1844444,47.35777778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=1203951610
12040500,"QUEETS RIVER NEAR CLEARWATER, WA",-124.3157457,47.5378588,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12040500
12041200,"HOH RIVER AT US HIGHWAY 101 NEAR FORKS, WA",-124.2510329,47.80674726,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12041200
12042800,"BOGACHIEL RIVER NEAR FORKS, WA",-124.3570889,47.8944194,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12042800
12043000,"CALAWAH RIVER NEAR FORKS, WA",-124.3929872,47.96007697,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12043000
12043015,"BOGACHIEL RIVER NEAR LA PUSH, WA",-124.5454886,47.90285217,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12043015
12043163,"TSOO-YESS RIVER BLW MILLER CREEK NEAR OZETTE, WA",-124.6257923,48.2653434,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12043163
12043300,"HOKO RIVER NEAR SEKIU, WA",-124.3838328,48.24146416,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12043300
12045500,"ELWHA RIVER AT MCDONALD BR NEAR PORT ANGELES, WA",-123.5832462,48.0548114,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12045500
12046260,"ELWHA RIVER AT DIVERSION NEAR PORT ANGELES, WA",-123.5521342,48.1120338,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12046260
12048000,"DUNGENESS RIVER NEAR SEQUIM, WA",-123.1326773,48.0142578,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12048000
12052210,"BIG QUILCENE RIVER BELOW DIVERSION NR QUILCENE, WA",-122.97961,47.78453566,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12052210
12054000,"DUCKABUSH RIVER NEAR BRINNON, WA",-123.011551,47.68398059,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12054000
12056500,"NF SKOKOMISH R BL STAIRCASE RPDS NR HOODSPORT, WA",-123.3298868,47.51425666,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12056500
12058790,"NF SKOKOMISH R NR LWR CUSHMAN DAM NR POTLATCH, WA",-123.2034909,47.3964809,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12058790
12059500,"NORTH FORK SKOKOMISH RIVER NEAR POTLATCH, WA",-123.2432128,47.32981429,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12059500
12060500,"SOUTH FORK SKOKOMISH RIVER NEAR UNION, WA",-123.2801586,47.34036949,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12060500
12061250,"VANCE CREEK ABOVE KIRKLAND CREEK NEAR POTLATCH, WA",-123.2860972,47.32251389,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12061250
12061500,"SKOKOMISH RIVER NEAR POTLATCH, WA",-123.1770995,47.3098151,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12061500
12073500,"HUGE CREEK NEAR WAUNA, WA",-122.6990241,47.38926205,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12073500
12076800,"GOLDSBOROUGH CREEK ABOVE 7TH STREET AT SHELTON, WA",-123.1129292,47.21176109,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12076800
12079000,"DESCHUTES RIVER NEAR RAINIER, WA",-122.6687354,46.85204488,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12079000
12080010,"DESCHUTES RIVER AT E ST BRIDGE AT TUMWATER, WA",-122.9031949,47.01176308,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12080010
12082500,"NISQUALLY RIVER NEAR NATIONAL, WA",-122.0837194,46.75260766,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12082500
12083000,"MINERAL CREEK NEAR MINERAL, WA",-122.1445534,46.74427397,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12083000
12086000,"NISQUALLY RIVER AT LA GRANDE DAM, WA",-122.30428,46.82260445,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12086000
12086500,"NISQUALLY RIVER AT LA GRANDE, WA",-122.3292809,46.83927048,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12086500
12087000,"MASHEL RIVER NEAR LA GRANDE, WA",-122.3026139,46.85677048,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12087000
12088000,"OHOP CREEK NEAR EATONVILLE, WA",-122.2790026,46.88093699,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12088000
12089208,"CENTRALIA POWER CANAL NEAR MCKENNA, WA",-122.4984532,46.9001003,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12089208
12089500,"NISQUALLY RIVER AT MCKENNA, WA",-122.5609563,46.93343245,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12089500
12090400,"NORTH FORK CLOVER CREEK NEAR PARKLAND, WA",-122.4151216,47.13454378,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12090400
12090500,"CLOVER CREEK NEAR TILLICUM, WA",-122.5104019,47.14593158,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12090500
12091100,"FLETT CREEK AT TACOMA, WA",-122.5201028,47.1888583,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12091100
12091200,"LEACH CREEK NEAR FIRCREST, WA",-122.5092916,47.2214873,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12091200
12091290,"LEACH CR AT MEADOW PARK GC AT UNIVERSITY PLACE, WA",-122.5209584,47.1984316,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12091290
12092000,"PUYALLUP RIVER NEAR ELECTRON, WA",-122.0351092,46.9037164,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12092000
12093500,"PUYALLUP RIVER NEAR ORTING, WA",-122.2078925,47.03926867,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12093500
12094000,"CARBON RIVER NEAR FAIRFAX, WA",-122.0326105,47.02788105,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=12094000
