SiteNumber, SiteName, SiteLongitude, SiteLatitude, SiteNWISURL
4024430,"NEMADJI RIVER NEAR SOUTH SUPERIOR, WI",-92.0938889,46.6333333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04024430
4025500,"BOIS BRULE RIVER AT BRULE, WI",-91.5952778,46.53777778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04025500
40263205,"WHITTLESEY CREEK NEAR ASHLAND, WI",-90.9632437,46.59438708,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=040263205
4026390,"BEARTRAP CREEK AT U.S. HIGHWAY 2 NEAR ASHLAND, WI",-90.7602778,46.60916667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04026390
4026561,"TYLER FORKS RIVER AT STRICKER ROAD NEAR MELLEN, WI",-90.59,46.3947222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04026561
4027000,"BAD RIVER NEAR ODANAH, WI",-90.696297,46.4866144,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04027000
4027500,"WHITE RIVER NEAR ASHLAND, WI",-90.9041667,46.4972222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04027500
4027595,"BAD RIVER AT ODANAH, WI",-90.6871285,46.61022045,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04027595
4060993,"BRULE RIVER AT US HIGHWAY 2 NEAR FLORENCE, WI",-88.3159663,45.96078737,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04060993
4062011,"BRULE RIVER NEAR COMMONWEALTH, WI",-88.2154106,45.94745319,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04062011
4063000,"MENOMINEE RIVER NEAR FLORENCE, WI",-88.1892993,45.9513419,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04063000
4063700,"POPPLE RIVER NEAR FENCE, WI",-88.4636111,45.7636111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04063700
4064500,"PINE RIVER BELOW PINE R POWERPLANT NR FLORENCE, WI",-88.2252778,45.8372222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04064500
4065106,"MENOMINEE RIVER AT NIAGARA, WI",-87.9805556,45.76777778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04065106
4066003,"MENOMINEE RIVER BELOW PEMENE CREEK NEAR PEMBINE,WI",-87.7869444,45.5794444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04066003
4066500,"PIKE RIVER AT AMBERG, WI",-88,45.5,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04066500
4067500,"MENOMINEE RIVER NEAR MC ALLISTER, WI",-87.6633333,45.3258333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04067500
4067958,"PESHTIGO RIVER NEAR WABENO, WI",-88.3051099,45.38774406,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04067958
4069416,"PESHTIGO RIVER AT PORTERFIELD, WI",-87.8005556,45.1433333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04069416
4069500,"PESHTIGO RIVER AT PESHTIGO, WI",-87.7444444,45.0475,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04069500
4071000,"OCONTO RIVER NEAR GILLETT, WI",-88.3,44.865,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04071000
4071765,"OCONTO RIVER NEAR OCONTO, WI",-87.98388889,44.86055556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04071765
4072076,"SILVER CREEK AT FLORIST DRIVE AT ONEIDA, WI",-88.1811111,44.49,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04072076
4073240,"CHAFFEE CREEK AT I-39 NEAR COLOMA, WI",-89.4978056,43.98175,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04073240
4073365,"FOX RIVER AT PRINCETON, WI",-89.1333333,43.8511111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04073365
40734605,"GREEN LAKE SW INLET @ CT HIGHWY K NR GREEN LAKE,WI",-89.0568611,43.7771111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=040734605
40734615,"HILL CREEK NR MOUTH NEAR GREEN LAKE, WI",-88.9476128,43.81470395,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=040734615
4073462,"WHITE CREEK AT SPRING GROVE ROAD NR GREEN LAKE, WI",-88.9283333,43.8161111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04073462
4073466,"SILVER CREEK AT SPAULDING ROAD NEAR GREEN LAKE, WI",-88.9083333,43.8397222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04073466
4073500,"FOX RIVER AT BERLIN, WI",-88.9525,43.95388889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04073500
4074950,"WOLF RIVER AT LANGLADE, WI",-88.7334398,45.18997026,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04074950
4077630,"RED RIVER AT MORGAN ROAD NEAR MORGAN, WI",-88.8442729,44.8980311,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04077630
4078500,"EMBARRASS RIVER NEAR EMBARRASS, WI",-88.7361111,44.7247222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04078500
4079000,"WOLF RIVER AT NEW LONDON, WI",-88.7403812,44.3922026,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04079000
4080000,"LITTLE WOLF RIVER AT ROYALTON, WI",-88.8653842,44.4124806,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04080000
4080798,"TOMORROW RIVER NEAR NELSONVILLE, WI",-89.3377778,44.5244444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04080798
4081000,"WAUPACA RIVER NEAR WAUPACA, WI",-88.9958333,44.32916667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04081000
4082400,"FOX RIVER AT OSHKOSH, WI",-88.5409472,44.013595,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04082400
4082500,"LAKE WINNEBAGO AT OSHKOSH, WI",-88.5273365,44.00970626,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04082500
4083515,"HAWTHORNE DR STORM SEWER AT FOND DU LAC, WI",-88.4366667,43.7522222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04083515
4084255,"LAKE WINNEBAGO NEAR STOCKBRIDGE, WI",-88.32888889,44.07055556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04084255
4084445,"FOX RIVER AT APPLETON, WI",-88.4230556,44.24805556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04084445
4084911,"PLUM CREEK NEAR WRIGHTSTOWN, WI",-88.1712146,44.3055449,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04084911
