SiteNumber, SiteName, SiteLongitude, SiteLatitude, SiteNWISURL
2339495,OSELIGEE CREEK NEAR LANETT AL,-85.1963308,32.9015159,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02339495
2342500,"UCHEE CREEK NEAR FORT MITCHELL, AL.",-85.014931,32.31681467,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02342500
2343801,"CHATTAHOOCHEE RIVER NEAR COLUMBIA, AL",-85.1102076,31.2593438,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02343801
2343805,"CHATTAHOOCHEE RIVER AT MILE 46 NEAR COLUMBIA, ALA",-85.1065964,31.2490663,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02343805
2361000,"CHOCTAWHATCHEE RIVER NEAR NEWTON, AL.",-85.6104912,31.3429492,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02361000
2361500,CHOCTAWHATCHEE RIVER NEAR BELLWOOD AL,-85.7843789,31.15934229,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02361500
2362000,"CHOCTAWHATCHEE RIVER NEAR GENEVA, ALABAMA",-85.8521574,31.0412902,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02362000
2362240,"LITTLE DOUBLE BRIDGES CREEK NR ENTERPRISE, AL.",-85.9582737,31.27239318,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02362240
2363000,PEA RIVER NEAR ARITON AL,-85.7829975,31.59488716,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02363000
2364000,"PEA RIVER AT ELBA, AL.",-86.0630019,31.4134998,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02364000
2364500,PEA RIVER NEAR SAMSON AL,-86.0993868,31.11267588,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02364500
2369800,BLACKWATER RIVER NEAR BRADLEY AL,-86.7099567,31.02767985,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02369800
2371500,CONECUH RIVER AT BRANTLEY AL,-86.2516226,31.57349458,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02371500
2372250,PATSALIGA CREEK NEAR BRANTLEY AL,-86.40551809,31.59627177,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02372250
