SiteNumber, SiteName, SiteLongitude, SiteLatitude, SiteNWISURL
6814000,"TURKEY C NR SENECA, KS",-96.1086149,39.9477773,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06814000
6818300,"MISSOURI R AT ATCHISON, KS",-95.1138889,39.5597222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06818300
6820475,"MISSOURI R AT LEAVENWORTH, KS",-94.9095,39.3269611,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06820475
6827000,"SF REPUBLICAN R NR CO-KS ST LINE, KS",-102.0135164,39.67193827,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06827000
6845110,"SAPPA C NR LYLE, KS",-99.9929055,40.0016726,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06845110
6846500,"BEAVER C AT CEDAR BLUFFS, KS",-100.560148,39.98500557,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06846500
6847900,"PRAIRIE DOG C AB KEITH SEBELIUS LAKE, KS",-100.1006875,39.769727,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06847900
6848500,"PRAIRIE DOG C NR WOODRUFF, KS",-99.4786584,39.9787043,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06848500
6853500,"REPUBLICAN R NR HARDY, NE",-97.932543,39.992513,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06853500
6853800,"WHITE ROCK C NR BURR OAK, KS",-98.2503276,39.89918,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06853800
6854000,"WHITE ROCK C AT LOVEWELL, KS",-98.0225448,39.88417866,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06854000
6854500,"REPUBLICAN R AT SCANDIA, KS",-97.7931266,39.79873,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06854500
6855850,"BUFFALO C 4 MI E OF JAMESTOWN, KS",-97.7814778,39.5927861,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06855850
6856000,"REPUBLICAN R AT CONCORDIA, KS",-97.658373,39.5886134,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06856000
6856600,"REPUBLICAN R AT CLAY CENTER, KS",-97.1275203,39.3555515,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06856600
6857100,"REPUBLICAN R AT JUNCTION CITY, KS",-96.8294533,39.0427758,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06857100
6860000,"SMOKY HILL R AT ELKADER, KS",-100.8584796,38.7947354,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06860000
6860900,"HACKBERRY C NR TREGO CENTER, KS",-100.0587368,38.84084465,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06860900
6861000,"SMOKY HILL R NR ARNOLD, KS",-100.0226243,38.8077898,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06861000
6862700,"SMOKY HILL R NR SCHOENCHEN, KS",-99.3470492,38.71167927,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06862700
6862850,"SMOKY HILL R BL SCHOENCHEN, KS",-99.292325,38.71223475,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06862850
6863000,"SMOKY HILL R AT PFEIFER, KS",-99.1537086,38.7147345,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06863000
6863420,"BIG C NR ELLIS, KS",-99.6508333,38.9233333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06863420
6863500,"BIG C NR HAYS, KS",-99.3181589,38.852234,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06863500
6864000,"SMOKY HILL R NR RUSSELL, KS",-98.8548066,38.7766781,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06864000
6864500,"SMOKY HILL R AT ELLSWORTH, KS",-98.2336684,38.72667589,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06864500
6865500,"SMOKY HILL R NR LANGLEY, KS",-97.952826,38.61139679,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06865500
6866000,"SMOKY HILL R AT LINDSBORG, KS",-97.6664947,38.56380659,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06866000
6866500,"SMOKY HILL R NR MENTOR, KS",-97.5717015,38.7111152,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06866500
6866900,"SALINE R NR WAKEENEY, KS",-99.8701212,39.1061185,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06866900
6867000,"SALINE R NR RUSSELL, KS",-98.8545276,38.96584479,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06867000
6867500,"PARADISE C NR PARADISE, KS",-98.8422917,39.05919167,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06867500
6868200,"SALINE R AT WILSON DAM, KS",-98.4903429,38.9747332,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06868200
6868850,"SALINE R AT LINCOLN, KS",-98.1511636,39.0286174,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06868850
6869500,"SALINE R AT TESCOTT, KS",-97.8739316,39.0038923,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06869500
6869950,"MULBERRY C NR SALINA, KS",-97.6683699,38.8444476,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06869950
6870200,"SMOKY HILL R AT NEW CAMBRIA, KS",-97.4833639,38.86389009,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06870200
6870300,"GYPSUM C NR GYPSUM, KS",-97.4275583,38.62726389,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06870300
6871000,"NF SOLOMON R AT GLADE, KS",-99.3095409,39.6730652,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06871000
6871500,"BOW C NR STOCKTON, KS",-99.2859298,39.5594542,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06871500
6872500,"NF SOLOMON R AT PORTIS, KS",-98.6922942,39.55501079,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06872500
6873000,"SF SOLOMON R AB WEBSTER RE, KS",-99.5801096,39.37667456,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06873000
6873460,"SF SOLOMON R AT WOODSTON, KS",-99.1017567,39.4397325,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06873460
6874000,"SF SOLOMON R AT OSBORNE, KS",-98.6942395,39.42778826,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06874000
6875900,"SOLOMON R NR GLEN ELDER, KS",-98.2836658,39.4738987,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06875900
6876000,"SOLOMON R AT BELOIT, KS",-98.1098985,39.45450957,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06876000
6876070,"SOLOMON R NR SIMPSON, KS",-97.9294875,39.36833679,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06876070
6876440,"SOLOMON R NR MINNEAPOLIS, KS",-97.7112889,39.12002778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06876440
6876700,"SALT C NR ADA, KS",-97.8369849,39.13916876,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06876700
6876900,"SOLOMON R AT NILES, KS",-97.4772513,38.9691663,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06876900
6877600,"SMOKY HILL R AT ENTERPRISE, KS",-97.1177952,38.90638906,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06877600
6878000,"CHAPMAN C NR CHAPMAN, KS",-97.0402922,39.031109,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06878000
6878600,"LYON C NR JUNCTION CITY, KS",-96.8580556,38.94916667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06878600
6879100,"KANSAS R AT FORT RILEY, KS",-96.7663963,39.06166457,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06879100
6879650,"KINGS C NR MANHATTAN, KS",-96.5946889,39.102075,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06879650
6879805,"WILDCAT C AT KEATS, KS",-96.7100278,39.2185833,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06879805
6879810,"WILDCAT C AT SCENIC DRIVE, MANHATTAN, KS",-96.6425556,39.18838889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06879810
6879815,"WILDCAT C AT SETH CHILDS RD, MANHATTAN, KS",-96.6108417,39.18474167,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06879815
6879820,"KANSAS R AT MANHATTAN, KS",-96.5547245,39.1747194,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06879820
6882510,"BIG BLUE R AT MARYSVILLE, KS",-96.6622425,39.8419463,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06882510
6884025,"Little Blue River at Hollenberg, KS",-97.0047222,39.98027778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06884025
6884200,"MILL C AT WASHINGTON, KS",-97.0375267,39.81361476,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06884200
6884400,"L BLUE R NR BARNES, KS",-96.8047432,39.72583518,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06884400
6884700,"BIG BLUE R AT BLUE RAPIDS, KS",-96.6400162,39.6872225,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06884700
6885500,"BLACK VERMILLION R NR FRANKFORT, KS",-96.4427888,39.68194349,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06885500
