SiteNumber, SiteName, SiteLongitude, SiteLatitude, SiteNWISURL
2489500,"Pearl River near Bogalusa, LA",-89.8209072,30.79324276,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02489500
2490193,"Pearl River at Pools Bluff near Bogalusa, LA",-89.8463889,30.70583333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02490193
2491500,"Bogue Chitto River at Franklinton, LA",-90.16203,30.84296176,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02491500
2492000,"Bogue Chitto River near Bush, LA",-89.8972956,30.62935636,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02492000
2492100,Pearl River Navigation Canal Lock and Dam No. 2,-89.8644444,30.59333333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02492100
2492519,Pearl River Navigation Canal Lock and Dam No. 1,-89.7797222,30.45638889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02492519
2492600,"Pearl River at Pearl River, LA",-89.7367304,30.385193,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02492600
2492700,"Pearl River at I-10 near Slidell, LA",-89.7022306,30.29788889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02492700
7294800,"(COE) Mississippi River at Knox Landing, LA",-91.5820624,31.0737878,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07294800
7344400,"Red River near Hosston, LA.",-93.8224008,32.8931941,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07344400
7344425,"Cross Bayou at Hwy 80 west of Greenwood, LA",-94.0146291,32.45598759,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07344425
7344450,"Paw Paw Bayou near Greenwood, LA",-93.9724054,32.51681896,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07344450
7344460,"Shettleworth Bayou near Blanchard, LA",-93.9366667,32.56666667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07344460
7344480,"Cross Lake at Shreveport, LA",-93.7983333,32.5125,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07344480
7346310,"(COE) Caddo Lake at Dam near Mooringsport, LA",-93.9146254,32.71014469,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07346310
7346450,"Black Bayou at Rodessa, LA",-93.9938889,32.9586111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07346450
7348000,"Twelvemile Bayou near Dixie, LA",-93.8779585,32.6459805,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07348000
7348098,"McCain Creek near Blanchard, LA",-93.8369444,32.60194444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07348098
7348500,"(COE) Red River at Shreveport, LA",-93.7404565,32.5154297,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07348500
7348550,(COE) Red River at L&D No. 5 (Upper) nr Howard,-93.4968418,32.25099097,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07348550
7348555,(COE) Red River at L&D No. 5 (Lower) nr Howard,-93.4968418,32.25126874,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07348555
7348700,"Bayou Dorcheat near Springhill, LA",-93.39656,32.9945813,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07348700
7349000,"Bayou Dorcheat near Minden, LA",-93.3320309,32.59759468,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07349000
