SiteNumber, SiteName, SiteLongitude, SiteLatitude, SiteNWISURL
1010000,"St. John River at Ninemile Bridge, Maine",-69.7155556,46.70055556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01010000
1010070,"Big Black River near Depot Mtn, Maine",-69.7516667,46.89388889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01010070
1010500,"St. John River at Dickey, Maine",-69.0880556,47.11305556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01010500
1011000,"Allagash River near Allagash, Maine",-69.0794444,47.0697222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01011000
1011500,"St. Francis River near Connors, New Brunswick",-68.9564281,47.20697926,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01011500
1013500,"Fish River near Fort Kent, Maine",-68.58277778,47.2375,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01013500
1014000,"St. John River below Fish R, nr Fort Kent, Maine",-68.58527778,47.2833333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01014000
1015800,"Aroostook River near Masardis, Maine",-68.3716667,46.52305556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01015800
1017000,"Aroostook River at Washburn, Maine",-68.1572222,46.7772222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01017000
1017060,"Hardwood Brook below Glidden Brk nr Caribou, Maine",-67.9891667,46.7836111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01017060
1017290,"Little Madawaska River at Caribou, Maine",-67.945,46.8886111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01017290
1017550,"Williams Brook at Phair, Maine",-67.9530556,46.62805556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01017550
1017960,"Meduxnekeag R above S Br Medux. R nr Houlton, ME",-67.88138889,46.105,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01017960
1018009,"Pearce Brook at Route 1 at Houlton, Maine",-67.84027778,46.11527778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01018009
1018035,"Meduxnekeag River at Lowery Rd. nr Houlton, Maine",-67.80388889,46.1811111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01018035
1018500,"St. Croix River at Vanceboro, Maine",-67.4283333,45.5683333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01018500
1019000,"Grand Lake Stream at Grand Lake Stream, Maine",-67.76888889,45.1725,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01019000
1021000,"St. Croix River at Baring, Maine",-67.3180556,45.1369444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01021000
1021060,"St. Croix River at Calais, Maine",-67.2834222,45.1916583,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01021060
1021470,"Libby Brook near Northfield, Maine",-67.725,44.8008333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01021470
1021480,"Old Stream near Wesley, Maine",-67.7361111,44.9369444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01021480
1022500,"Narraguagus River at Cherryfield, Maine",-67.93527778,44.60805556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01022500
1022840,"Otter Creek near Bar Harbor, Maine",-68.2066667,44.33277778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01022840
1027200,"North Branch Penobscot River nr Pittston Farm, ME",-69.9936111,45.93527778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01027200
1027240,"S. Br. Penobscot River nr Canada Falls Lake, Maine",-69.9950083,45.8739222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01027240
1029200,"Seboeis River near Shin Pond, Maine",-68.6336111,46.14305556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01029200
1029500,"East Branch Penobscot River at Grindstone, Maine",-68.5894444,45.73027778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01029500
1030350,Wytopitlock Stream near Wytopitlock Maine,-68.1580556,45.7086111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01030350
1030500,"Mattawamkeag River near Mattawamkeag, Maine",-68.3058333,45.5011111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01030500
1031300,"Piscataquis River at Blanchard, Maine",-69.58388889,45.2672222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01031300
1031450,"Kingsbury Stream at Abbot Village, Maine",-69.4522222,45.1844444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01031450
1031500,"Piscataquis River near Dover-Foxcroft, Maine",-69.3147222,45.175,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01031500
1031510,"Black Stream near Dover-Foxcroft, Maine",-69.23638889,45.15027778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01031510
