SiteNumber, SiteName, SiteLongitude, SiteLatitude, SiteNWISURL
5490600,"Des Moines River at St. Francisville, MO",-91.5669639,40.4624083,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05490600
5495000,"Fox River at Wayland, MO",-91.5978889,40.39241667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05495000
5496000,"Wyaconda River above Canton, MO",-91.5656944,40.1421111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05496000
5497150,"North Fabius River near Ewing, MO",-91.6221036,40.0189337,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05497150
5498150,"Middle Fabius River near Ewing, MO",-91.7057179,40.028933,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05498150
5498700,"South Fabius River above Newark, MO",-92.0269444,40.0061111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05498700
5500000,"South Fabius River near Taylor, MO",-91.5801667,39.89663889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05500000
5501000,"North River at Palmyra, MO",-91.5460278,39.817,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05501000
5502000,"Bear Creek at Hannibal, MO",-91.4095556,39.67819444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05502000
5502300,"North Fork Salt River at Hagers Grove, MO",-92.2304444,39.82988889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05502300
5502500,"North Fork Salt River near Shelbina, MO",-92.0410278,39.74127778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05502500
5503100,"Black Creek below Shelbyville, MO",-91.9361111,39.73805556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05503100
5503800,"Crooked Creek near Paris, MO",-91.9935,39.5848333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05503800
5504800,"South Fork Salt River above Santa Fe, MO",-91.8340547,39.3261511,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05504800
5506100,"Long Branch near Santa Fe, MO",-91.8343322,39.3558733,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05506100
5506350,"Middle Fork Salt River near Holliday, MO",-92.12775,39.5241111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05506350
5506800,"Elk Fork Salt River near Madison, MO",-92.1677778,39.4348333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05506800
5507600,"Lick Creek at Perry, MO",-91.6762708,39.4314296,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05507600
5507800,"Salt River near Center, MO",-91.5718056,39.57405556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05507800
5508000,"Salt River near New London, MO",-91.4073056,39.6123333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05508000
5508805,"Spencer Creek below Plum Creek near Frankford, MO",-91.34275,39.5204722,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05508805
5514500,"Cuivre River near Troy, MO",-90.9775278,39.00880556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05514500
