SiteNumber, SiteName, SiteLongitude, SiteLatitude, SiteNWISURL
1302020,BRONX RIVER AT NY BOTANICAL GARDEN AT BRONX NY,-73.87438889,40.86230556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01302020
1303500,COLD SPRING BROOK AT COLD SPRING HARBOR NY,-73.4633333,40.8572222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01303500
1304000,NISSEQUOGUE RIVER NEAR SMITHTOWN NY,-73.2241667,40.84944444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01304000
1304500,PECONIC RIVER AT RIVERHEAD NY,-72.6866667,40.9136111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01304500
1306460,CONNETQUOT BK NR CENTRAL ISLIP NY,-73.1586111,40.77194444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01306460
1308500,CARLLS RIVER AT BABYLON NY,-73.3283333,40.7086111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01308500
1309500,MASSAPEQUA CREEK AT MASSAPEQUA NY,-73.4547222,40.68888889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01309500
1311500,VALLEY STREAM AT VALLEY STREAM NY,-73.7044444,40.6636111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01311500
1311875,ROCKAWAY INLET NEAR FLOYD BENNETT FIELD NY,-73.885136,40.57371636,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01311875
1312000,HUDSON RIVER NEAR NEWCOMB NY,-74.1316667,43.96666667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01312000
1315000,INDIAN RIVER NEAR INDIAN LAKE NY,-74.2672222,43.75638889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01315000
1315170,DURGIN BROOK AT BOREAS RIVER NY,-73.9536111,43.9398333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01315170
1315500,HUDSON RIVER AT NORTH CREEK NY,-73.9833333,43.7008333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01315500
1317000,SCHROON RIVER AT RIVERBANK NY,-73.7375,43.60944444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01317000
1318500,HUDSON RIVER AT HADLEY NY,-73.8441667,43.31888889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01318500
1321000,SACANDAGA RIVER NEAR HOPE NY,-74.27027778,43.35277778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01321000
1325000,SACANDAGA RIVER AT STEWARTS BRIDGE NR HADLEY NY,-73.8672222,43.31138889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01325000
1327500,GLENS FALLS FEEDER AT DUNHAM BASIN NY,-73.5465031,43.30423926,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01327500
1327750,HUDSON RIVER AT FORT EDWARD NY,-73.5958333,43.26944444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01327750
1328770,HUDSON RIVER AT THOMSON NY,-73.5849167,43.12538889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01328770
1329490,BATTEN KILL BELOW MILL AT BATTENVILLE NY,-73.4216667,43.1086111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01329490
1330000,GLOWEGEE CREEK AT WEST MILTON NY,-73.9272222,43.03055556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01330000
1334500,HOOSIC RIVER NEAR EAGLE BRIDGE NY,-73.3769444,42.9386111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01334500
1335754,HUDSON RIVER ABOVE LOCK 1 NEAR WATERFORD NY,-73.6661111,42.82916667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01335754
1335755,HUDSON RIVER AT LOCK 1 NEAR WATERFORD NY,-73.6620622,42.8239664,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01335755
1336000,MOHAWK RIVER BELOW DELTA DAM NEAR ROME NY,-75.43638889,43.26444444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01336000
1338000,ORISKANY CREEK NEAR ORISKANY NY,-75.3378056,43.14277778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01338000
1339060,SAUQUOIT CREEK AT WHITESBORO NY,-75.294,43.11144444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01339060
1342602,MOHAWK RIVER NEAR UTICA NY,-75.1579167,43.09369444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01342602
1342682,MOYER CREEK NEAR FRANKFORT NY,-75.1043056,43.02694444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01342682
1342730,STEELE CREEK AT ILION NY,-75.0416667,43.0065833,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01342730
1342743,FULMER CREEK NEAR MOHAWK NY,-74.9904444,42.9852222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01342743
1343060,WEST CANADA CREEK NEAR WILMURT NY,-74.95777778,43.3661111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01343060
1343403,BLACK CREEK NEAR GRAY NY,-74.9591944,43.28277778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01343403
1346000,WEST CANADA CREEK AT KAST BRIDGE NY,-74.9883333,43.06888889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01346000
1347000,MOHAWK RIVER NEAR LITTLE FALLS NY,-74.7794444,43.0147222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01347000
1348000,EAST CANADA CREEK AT EAST CREEK NY,-74.7408333,43.01666667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01348000
1349000,OTSQUAGO CREEK AT FORT PLAIN NY,-74.63288889,42.92925,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01349000
1349150,CANAJOHARIE CREEK NEAR CANAJOHARIE NY,-74.6028611,42.87627778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01349150
1349527,MOHAWK R ABOVE STATE HIGHWAY 30A AT FONDA NY,-74.3720795,42.95035136,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01349527
1349700,EAST KILL NEAR JEWETT CENTER NY,-74.30277778,42.24916667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01349700
1349705,SCHOHARIE CREEK NEAR LEXINGTON NY,-74.34027778,42.23694444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01349705
1349711,WEST KILL BELOW HUNTER BROOK NEAR SPRUCETON NY,-74.2769444,42.185,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01349711
1349810,WEST KILL NEAR WEST KILL NY,-74.3930556,42.23027778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01349810
1349950,BATAVIA KILL AT RED FALLS NEAR PRATTSVILLE NY,-74.39,42.3083333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01349950
1350000,SCHOHARIE CREEK AT PRATTSVILLE NY,-74.4366667,42.31944444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01350000
1350035,BEAR KILL NEAR PRATTSVILLE NY,-74.4516667,42.33805556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01350035
1350080,MANOR KILL AT WEST CONESVILLE NEAR GILBOA NY,-74.4130556,42.37694444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01350080
1350101,SCHOHARIE CREEK AT GILBOA NY,-74.4505556,42.3972222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01350101
1350120,PLATTER KILL AT GILBOA NY,-74.4472222,42.4061111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01350120
1350140,MINE KILL NEAR NORTH BLENHEIM NY,-74.4730556,42.42888889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01350140
1350180,SCHOHARIE CREEK AT NORTH BLENHEIM NY,-74.4622222,42.4658333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01350180
1350212,SCHOHARIE CREEK NEAR NORTH BLENHEIM NY,-74.44113889,42.47263889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01350212
1350355,SCHOHARIE CREEK AT BREAKABEEN NY,-74.4105556,42.53694444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01350355
1350480,LITTLE SCHOHARIE CREEK NEAR MIDDLEBURGH NY,-74.3066111,42.5798611,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01350480
1350500,SCHOHARIE CREEK AT MIDDLEBURGH NY,-74.3361111,42.59944444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01350500
1350750,SCHOHARIE CREEK AT SCHOHARIE NY,-74.326,42.66544444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01350750
1351200,FOX CREEK NEAR SCHOHARIE NY,-74.25388889,42.67305556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01351200
1351298,COBLESKILL CREEK AT S GRAND ST AT COBLESKILL NY,-74.4819167,42.67255556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01351298
1351450,SCHOHARIE CREEK AT ESPERANCE NY,-74.25477778,42.7605833,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01351450
1351500,SCHOHARIE CREEK AT BURTONSVILLE NY,-74.26277778,42.8,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01351500
1354083,MOHAWK RIVER AT AMSTERDAM NY,-74.1918611,42.934,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01354083
1354330,MOHAWK RIVER AT LOCK 8 NEAR SCHENECTADY NY,-73.9903722,42.8281583,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01354330
1354500,MOHAWK RIVER AT FREEMAN'S BRIDGE AT SCHENECTADY NY,-73.93075,42.83052778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01354500
1355475,MOHAWK RIVER AT REXFORD NY,-73.88725,42.8511111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01355475
1356000,MOHAWK RIVER AT VISCHER FERRY DAM NY,-73.8476667,42.80419444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01356000
