SiteNumber, SiteName, SiteLongitude, SiteLatitude, SiteNWISURL
7148400,"Salt Fork Arkansas River nr Alva, OK",-98.6481395,36.81503056,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07148400
7149520,"Salt Fork Arkansas River at SH 11 nr Cherokee, Ok",-98.2472222,36.80555556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07149520
7151000,"Salt Fork Arkansas River at Tonkawa, OK",-97.3094887,36.6719792,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07151000
7152000,"Chikaskia River near Blackwell, OK",-97.277265,36.8114211,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07152000
7152500,"Arkansas River at Ralston, OK",-96.7283672,36.50421677,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07152500
7153000,"Black Bear Creek at Pawnee, OK",-96.7994788,36.34366537,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07153000
7154500,"Cimarron River near Kenton, OK",-102.9590954,36.92668707,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07154500
7156900,"Cimarron River near Forgan, OK",-100.4918171,37.0111372,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07156900
7157950,"Cimarron River near Buffalo, OK",-99.315387,36.85197484,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07157950
7158000,"Cimarron River near Waynoka, OK",-98.8795366,36.51725644,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07158000
7159100,"Cimarron River near Dover, OK",-97.9144994,35.95170756,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07159100
7159550,"Lake Hefner at Oklahoma City, OK",-97.5955972,35.5828329,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07159550
7159750,"Cottonwood Creek near Seward, OK",-97.478097,35.81366006,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07159750
7160000,"Cimarron River near Guthrie, OK",-97.4258746,35.9206023,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07160000
7160350,"Skeleton Creek at Enid, OK",-97.8003332,36.3761449,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07160350
7160500,"Skeleton Creek near Lovell, OK",-97.5850471,36.06004045,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07160500
7161450,"Cimarron River near Ripley, OK",-96.9122504,35.9858927,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07161450
7164500,"Arkansas River at Tulsa, OK",-96.0063866,36.14064807,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07164500
7164600,"Joe Creek at 61st St at Tulsa, OK",-95.9605501,36.07565044,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07164600
