SiteNumber, SiteName, SiteLongitude, SiteLatitude, SiteNWISURL
1427195,"Equinunk Creek near Dillontown, PA",-75.2383333,41.84027778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01427195
1428750,"West Branch Lackawaxen River near Aldenville, PA",-75.37601299,41.67452998,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01428750
1429000,"West Branch Lackawaxen River at Prompton, PA",-75.3268449,41.58730898,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01429000
1429301,"Dyberry Creek at Tanners Falls near Dyberry, PA",-75.28205278,41.65308889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01429301
1429500,"Dyberry Creek near Honesdale, PA",-75.26712048,41.6073104,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01429500
1430000,"Lackawaxen River near Honesdale, PA",-75.2479534,41.56203315,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01430000
1431500,"Lackawaxen River at Hawley, PA",-75.1721186,41.4762002,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01431500
1432110,"Lackawaxen River at Rowland, PA",-75.036281,41.4759228,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01432110
1432495,"Shohola Creek near Walker Lake, PA",-74.9216667,41.45,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01432495
1439500,"Bush Kill at Shoemakers, PA",-75.03767469,41.08815078,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01439500
1439590,"Little Bush Kill at Edgemere, PA",-74.9954499,41.2587041,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01439590
1440200,Delaware River near Delaware Water Gap Pa,-75.0861111,41.0133333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01440200
1440400,"Brodhead Creek near Analomink, PA",-75.2146251,41.0848148,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01440400
1440485,"Swiftwater Creek at Swiftwater, PA",-75.32212759,41.09397946,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01440485
1441495,"Pocono Creek ab Wigwam Run near Stroudsburg, PA",-75.2551824,40.9909265,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01441495
1442500,"Brodhead Creek at Minisink Hills, PA",-75.1426788,40.998706,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01442500
1446775,"Bushkill Creek ab Rt 33 bridge at Tatamy, PA",-75.2651783,40.7489862,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01446775
1446776,"Bushkill Creek bl SR2017 bridge at Tatamy, PA",-75.2610116,40.74870845,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01446776
1447500,"Lehigh River at Stoddartsville, PA",-75.625467,41.1303626,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01447500
1447680,"Tunkhannock Creek near Long Pond, PA",-75.52138889,41.06527778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01447680
1447720,"Tobyhanna Creek near Blakeslee, PA",-75.6054666,41.0848082,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01447720
1447800,Lehigh R bl Francis E Walter Res nr White Haven PA,-75.7321362,41.1048062,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01447800
1449000,"Lehigh River at Lehighton, PA",-75.70518938,40.8292587,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01449000
1449360,"Pohopoco Creek at Kresgeville, PA",-75.5024077,40.8975919,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01449360
1449800,"Pohopoco Cr bl Beltzville Dam nr Parryville, PA",-75.6457437,40.84564756,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01449800
1450500,"Aquashicola Creek at Palmerton, PA",-75.5979643,40.8062047,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01450500
1451000,"Lehigh River at Walnutport, PA",-75.60296388,40.7570395,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01451000
1451500,"Little Lehigh Creek near Allentown, PA",-75.48296088,40.5823197,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01451500
1451650,Little Lehigh Creek at Tenth St. Br. at Allentown,-75.4740717,40.59648637,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01451650
1451800,"Jordan Creek near Schnecksville, PA",-75.626854,40.66176219,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01451800
1452000,"Jordan Creek at Allentown, PA",-75.4824053,40.62315267,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01452000
