SiteNumber, SiteName, SiteLongitude, SiteLatitude, SiteNWISURL
1109403,"TEN MILE R., PAWTUCKET AVE. AT E. PROVIDENCE, RI",-71.3503315,41.83093377,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01109403
1111300,"NIPMUC RIVER NEAR HARRISVILLE, RI",-71.68590049,41.9812093,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01111300
1111500,"BRANCH RIVER AT FORESTDALE, RI",-71.56200758,41.99648716,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01111500
1112500,"BLACKSTONE RIVER AT WOONSOCKET, RI",-71.5025613,42.0064871,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01112500
1113895,BLACKSTONE R AT ROOSEVELT ST AT PAWTUCKET RI,-71.38144467,41.8884331,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01113895
1114000,"MOSHASSUCK RIVER AT PROVIDENCE, RI",-71.41061208,41.833989,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01114000
1114500,"WOONASQUATUCKET RIVER AT CENTERDALE, RI",-71.4872823,41.8589884,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01114500
1115098,"PEEPTOAD BROOK AT ELMDALE RD NR NORTH SCITUATE, RI",-71.6061754,41.8525992,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01115098
1115110,"HUNTINGHOUSE BK AT ELMDALE RD AT N SCITUATE, RI",-71.6117311,41.84676589,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01115110
1115114,"RUSH BROOK NEAR ELMDALE RD NEAR NORTH SCITUATE, RI",-71.6120089,41.83759929,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01115114
1115120,"UNNAMED TRIB TO SCITUATE RES NR NORTH SCITUATE, RI",-71.6089532,41.8314882,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01115120
1115170,"MOSWANSICUT STREAM NR NORTH SCITUATE, RI",-71.584508,41.84093269,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01115170
1115183,"QUONAPAUG BK AT RT 116 NR NORTH SCITUATE, RI",-71.5847857,41.79759966,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01115183
1115184,"SPRUCE BROOK NR NORTH SCITUATE, RI",-71.6200647,41.7887107,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01115184
1115187,"PONAGANSET RIVER AT SOUTH FOSTER, RI",-71.7050677,41.8187102,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01115187
1115190,"DOLLY COLE BK AT OLD DANIELSON PK AT S FOSTER, RI",-71.70034528,41.8223213,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01115190
1115265,"HEMLOCK BROOK AT KING ROAD NR FOSTER, RI",-71.6986785,41.7906548,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01115265
1115275,"BEAR TREE BROOK NR CLAYVILLE, RI",-71.67478879,41.7825994,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01115275
1115276,"WESTCONNAUG STREAM AT PLAINFIELD PIKE, RI",-71.6672885,41.7853772,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01115276
1115280,"CORK BK AT ROCKLAND SCITUATE RD NR CLAYVILLE, RI",-71.6497879,41.80398827,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01115280
1115297,WILBUR HOLLOW BK AT OLD PLAINFIELD PK NR CLAYVILLE,-71.6356207,41.7648219,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01115297
1115630,"NOOSENECK RIVER AT NOOSENECK, RI",-71.6325646,41.6267667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01115630
1116000,"SOUTH BRANCH PAWTUXET RIVER AT WASHINGTON, RI",-71.5658958,41.69010026,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01116000
1116500,"PAWTUXET RIVER AT CRANSTON, RI",-71.4450575,41.75093399,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01116500
1116905,"HUNT R 250 FT DS FRY BRK AT FRENCHTOWN, RI",-71.47888889,41.63,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01116905
1117000,"HUNT RIVER NEAR EAST GREENWICH, RI",-71.4445016,41.6412122,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01117000
1117350,"CHIPUXET RIVER AT WEST KINGSTON, RI",-71.5511719,41.4823233,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01117350
1117370,QUEEN R AT LIBERTY RD AT LIBERTY RI,-71.568673,41.53898957,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01117370
1117420,"USQUEPAUG RIVER NEAR USQUEPAUG, RI",-71.6047849,41.4767673,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01117420
1117430,"PAWCATUCK RIVER AT KENYON, RI",-71.6211738,41.44621186,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01117430
1117468,"BEAVER RIVER NEAR USQUEPAUG, RI",-71.6281194,41.49260037,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01117468
1117500,"PAWCATUCK RIVER AT WOOD RIVER JUNCTION, RI",-71.68089828,41.44510024,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01117500
1117800,"WOOD RIVER NEAR ARCADIA, RI",-71.72062318,41.5739884,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01117800
1118000,"WOOD RIVER AT HOPE VALLEY, RI",-71.7164561,41.49815516,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01118000
1118500,"PAWCATUCK RIVER AT WESTERLY, RI",-71.8331247,41.38371065,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01118500
411838071513000,"WATCH HILL COVE TIDE GAGE WESTERLY, R.I.",-71.8583333,41.31055556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=411838071513000
