SiteNumber, SiteName, SiteLongitude, SiteLatitude, SiteNWISURL
2110400,"BUCK CREEK NEAR LONGS, SC",-78.71973988,33.953505,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02110400
2110500,"WACCAMAW RIVER NEAR LONGS, SC",-78.7150175,33.9126719,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02110500
2110550,"WACCAMAW RIVER ABOVE CONWAY, SC",-78.8972222,33.8508333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02110550
2110701,"CRABTREE SWAMP AT CONWAY, SC",-79.0411471,33.86100349,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02110701
2110704,"WACCAMAW RIVER AT CONWAY MARINA AT CONWAY, SC",-79.0436473,33.8329481,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02110704
2110725,"AIW AT HIGHWAY 544 AT SOCASTEE, SC",-79.0047569,33.6871151,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02110725
2110777,"AIW AT HIGHWAY 9 AT NIXONS CROSSROADS, SC",-78.6558483,33.8515612,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02110777
2110802,"WACCAMAW RIVER AT BUCKSPORT, SC",-79.09420639,33.64905837,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02110802
21108125,"WACCAMAW RIVER NEAR PAWLEYS ISLAND, SC",-79.1269867,33.50655724,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=021108125
2110815,"WACCAMAW R NR HAGLEY LAND. NR PAWLEYS ISLAND, SC",-79.1739341,33.44461245,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02110815
2130000,"PEE DEE RIVER AT CHERAW, SC",-79.8761747,34.70848979,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02130000
2130561,"PEE DEE RIVER NR BENNETTSVILLE, SC",-79.7883963,34.60626798,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02130561
2130810,"PEEDEE RIVER NEAR FLORENCE,SC",-79.6344444,34.30027778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02130810
