SiteNumber, SiteName, SiteLongitude, SiteLatitude, SiteNWISURL
1595300,"ABRAM CREEK AT OAKMONT, WV",-79.17892449,39.36676569,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01595300
1595790,"BLOOMINGTON LAKE NEAR ELK GARDEN, WV",-79.12625,39.42927778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01595790
1595800,"NORTH BRANCH POTOMAC RIVER AT BARNUM, WV",-79.1108056,39.4451111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01595800
1598500,"NORTH BRANCH POTOMAC RIVER AT LUKE, MD",-79.0637778,39.4789722,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01598500
1599200,"LINTON CREEK NEAR LAUREL DALE, WV",-79.13138889,39.26944444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01599200
1603000,"NORTH BRANCH POTOMAC RIVER NEAR CUMBERLAND, MD",-78.7734167,39.62180556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01603000
1604500,"PATTERSON CREEK NEAR HEADSVILLE, WV",-78.8219649,39.44314946,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01604500
1605002,"PAINTER RUN NEAR FORT ASHBY, WV",-78.7600181,39.4856472,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01605002
1605500,"SOUTH BRANCH POTOMAC RIVER AT FRANKLIN, WV",-79.3378199,38.63567247,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01605500
1606000,"N F SOUTH BRANCH POTOMAC RIVER AT CABINS, WV",-79.2336508,38.9845546,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01606000
1606500,"SOUTH BRANCH POTOMAC RIVER NEAR PETERSBURG, WV",-79.17587059,38.99122107,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01606500
1606900,"SOUTH MILL CREEK NEAR MOZER, WV",-79.16309189,38.8548343,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01606900
1607300,"BRUSHY FORK NEAR SUGAR GROVE, WV",-79.31888889,38.46638889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01607300
1607500,"S F SOUTH BRANCH POTOMAC RIVER AT BRANDYWINE, WV",-79.2436497,38.63150665,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01607500
1608000,"S F SOUTH BRANCH POTOMAC RIVER NR MOOREFIELD, WV",-78.9561387,39.0123313,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01608000
1608500,"SOUTH BRANCH POTOMAC RIVER NEAR SPRINGFIELD, WV",-78.6541817,39.44703879,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01608500
1610000,"POTOMAC RIVER AT PAW PAW, WV",-78.45638889,39.53891667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01610000
1610195,"PARKER HOLLOW RUN AT NEEDMORE, WV",-78.7977778,39.04277778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01610195
1610400,"WAITES RUN NEAR WARDENSVILLE, WV",-78.5983333,39.0427222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01610400
1611500,"CACAPON RIVER NEAR GREAT CACAPON, WV",-78.3097312,39.5823158,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01611500
1613000,"POTOMAC RIVER AT HANCOCK, MD",-78.17788889,39.69755556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01613000
