! Author: Greg Thompson  NCAR/RAP,,,,,,,,,,,,,,
! Updated: NCEP/AWC,,,,,,,,,,,,,,
! Date:  2 MAR 2023,,,,,,,,,,,,,,
!,,,,,,,,,,,,,,
"! This file is organized by state alphabetically, then by Canadian",,,,,,,,,,,,,,
! province and then all other stations.  The file was compiled from lists,,,,,,,,,,,,,,
! of the following:,,,,,,,,,,,,,,
!      METAR sites,,,,,,,,,,,,,,
!      NEXRADs,,,,,,,,,,,,,,
!      rawinsonde sites,,,,,,,,,,,,,,
!      wind profilers,,,,,,,,,,,,,,
"!      WFOs, RFCs, NCEP-Centers",,,,,,,,,,,,,,
!      AIRMET/SIGMET station list (VORs?),,,,,,,,,,,,,,
!      ARTCCs (Air Route Traffic Control Centers - FAA),,,,,,,,,,,,,,
!      old SAO sites for archive data access  (flagged in a special manner),,,,,,,,,,,,,,
!,,,,,,,,,,,,,,
!   Country abbreviations from ISO 3166,,,,,,,,,,,,,,
!   source:  ftp://ftp.fu-berlin.de/doc/iso/iso3166-countrycodes.txt,,,,,,,,,,,,,,
!   another: http://www.iso.org/iso/en/prods-services/iso3166ma/02iso-3166-code-lists/list-en1.html,,,,,,,,,,,,,,
!,,,,,,,,,,,,,,
!   CD = 2 letter state (province) abbreviation,,,,,,,,,,,,,,
!   STATION = 16 character station long name,,,,,,,,,,,,,,
!   ICAO = 4-character international id,,,,,,,,,,,,,,
!   IATA = 3-character (FAA) id,,,,,,,,,,,,,,
!   SYNOP = 5-digit international synoptic number,,,,,,,,,,,,,,
!   LAT = Latitude (degrees minutes),,,,,,,,,,,,,,
!   LON = Longitude (degree minutes),,,,,,,,,,,,,,
!   ELEV = Station elevation (meters),,,,,,,,,,,,,,
!   M = METAR reporting station.   Also Z=obsolete? site,,,,,,,,,,,,,,
!   N = NEXRAD (WSR-88D) Radar site,,,,,,,,,,,,,,
"!   V = Aviation-specific flag (V=AIRMET/SIGMET end point, A=ARTCC T=TAF U=T+V)",,,,,,,,,,,,,,
!   U = Upper air (rawinsonde=X) or Wind Profiler (W) site,,,,,,,,,,,,,,
"!   A = Auto (A=ASOS, W=AWOS, M=Meso, H=Human, G=Augmented) (H/G not yet impl.)",,,,,,,,,,,,,,
!   C = Office type F=WFO/R=RFC/C=NCEP Center,,,,,,,,,,,,,,
!   Digit that follows is a priority for plotting (0=highest),,,,,,,,,,,,,,
!   Country code (2-char) is last column,,,,,,,,,,,,,,
!        1         2         3         4         5         6         7         8,,,,,,,,,,,,,,
!23456789012345678901234567890123456789012345678901234567890123456789012345678901234567890,,,,,,,,,,,,,,
!,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CD,STATION,ICAO,IATA,SYNOP,LAT,LONG,ELEV,M,N,V,U,A,C,country
AK,ADAK NAS,PADK,ADK,70454,51 53N,176 39W,3,X,,T,,,7,US
AK,AKHIOK,PAKH,AKK,,56 56N,154 11W,15,X,,,,,8,US
AK,AKUTAN,PAUT,KQA,,54 08N,165 36W,25,X,,,,,7,US
AK,ALASKAN ARTCC,PZ74,,,60 09N,164 17W,1,,,A,,,8,US
AK,ALASKAN ARTCC,PZ76,,,65 15N,134 39W,647,,,A,,,8,US
AK,AMBLER,PAFM,ABL,,67 06N,157 51W,79,X,,,,,7,US
AK,ANAKTUVUK PASS,PAKP,AKP,,68 08N,151 44W,649,X,,,,,7,US
AK,ANCHORAGE/ARTCC,PZAN,,,61 10N,149 59W,22,,,A,,,8,US
AK,ANCHORAGE INTL,PANC,ANC,70273,61 10N,150 01W,39,X,,T,X,A,5,US
AK,ANCHORAGE/LAKE H,PALH,,,61 11N,149 58W,26,X,,,,A,7,US
AK,ANCHORAGE/MERRIL,PAMR,MRI,,61 13N,149 51W,43,X,,,,A,7,US
AK,ANCHORAGE/WFO,PAFC,AFC,,61 10N,150 02W,48,,,,,,F 8,US
AK,ANCHORAG/NIKISKI,PAHG,SHG,,60 44N,151 21W,74,,X,,,,8,US
AK,ANGOON SEAPLANE,PAGN,AGN,70383,57 30N,134 35W,2,X,,,,,8,US
AK,ANIAK,PANI,ANI,70232,61 35N,159 32W,21,X,,,,,7,US
AK,ANNETTE ISLAND,PANT,ANN,70398,55 02N,131 34W,29,X,,,X,A,5,US
AK,ANVIK,PANV,ANV,,62 39N,160 11W,91,X,,,,,7,US
AK,ARCTIC VILLAGE,PARC,ARC,,68 07N,145 35W,626,X,,,,,7,US
AK,ATKA,PAAK,AKB,,52 13N,174 12W,11,X,,,,,7,US
AK,ATQASUK BURNELL,PATQ,ATK,,70 28N,157 26W,28,X,,,,,7,US
AK,BARROW ARM-NSA,,,70027,71 19N,156 37W,7,,,,X,,8,US
AK,BARTER ISLAND,PABA,BTI,,70 08N,143 35W,1,X,,,,W,7,US
AK,BETHEL/88D,PABC,ABC,,60 48N,161 53W,49,,X,,,,8,US
AK,BETHEL,PABE,BET,70219,60 47N,161 50W,28,X,,T,X,A,5,US
AK,BETTLES,PABT,BTT,70174,66 55N,151 31W,195,X,,T,,A,6,US
AK,BIG RIVER LAKES,PALV,,,60 49N,152 18W,12,X,,,,,7,US
AK,BIRCHWOOD,PABV,,,61 25N,149 31W,21,X,,,,,7,US
AK,BREVIG MISSION,PFKT,KTS,,65 20N,166 28W,8,X,,,,,7,US
AK,BRYANT ARMY AF,PAFR,FRN,70270,61 16N,149 39W,106,X,,,,,6,US
AK,BUCKLAND,PABL,BKC,,65 59N,161 09W,7,X,,,,,7,US
AK,CANTWELL,PATW,,,63 23N,148 57W,675,X,,,,,7,US
AK,CAPE LISBURNE,PALU,LUR,70104,68 53N,166 06W,8,X,,T,,W,6,US
AK,CAPE NEWENHAM,PAEH,EHM,70305,58 39N,162 04W,101,X,,T,,,6,US
AK,CAPE ROMANZOF,PACZ,CZF,70212,61 47N,166 02W,129,X,,T,,,6,US
AK,CENTRAL AK PROF,,,70197,65 30N,144 41W,259,,,,W,,8,US
AK,CENTRAL,PACE,,,65 34N,144 47W,286,X,,,,,7,US
AK,CENTRAL,PARL,CEM,,65 34N,144 47W,284,X,,,,,7,US
AK,CHANDALAR LAKE,PALR,WCR,,67 30N,148 29W,579,X,,,,,7,US
AK,CHEVAK,PAVA,VAK,,61 32N,165 36W,14,X,,,,,7,US
AK,CHIGNIK BAY,PAJC,,,56 19N,158 22W,10,X,,,,,7,US
AK,CHULITNA,PAEC,,,62 53N,149 34W,389,X,,,,,7,US
AK,CIRCLE/PAFC RFC,PACR,IRC,,65 50N,144 04W,182,X,,,,,R 7,US
AK,CLARKS POINT,PFCL,CLP,,58 50N,158 32W,23,X,,,,,7,US
AK,COLD BAY,PACD,CDB,70316,55 13N,162 43W,23,X,,T,X,A,5,US
AK,CORDOVA,PACV,CDV,70296,60 30N,145 28W,15,X,,T,,A,6,US
AK,DEADHORSE,PASC,SCC,,70 12N,148 28W,17,X,,T,,A,6,US
AK,DEERING,PADE,DRG,,66 04N,162 46W,5,X,,,,A,7,US
AK,DELTA JUNCTION,PABI,BIG,70267,64 00N,145 43W,388,X,,T,,A,6,US
AK,DILLINGHAM,PADL,DLG,70321,59 03N,158 30W,20,X,,T,,,6,US
