SiteNumber, SiteName, SiteLongitude, SiteLatitude, SiteNWISURL
1477800,"SHELLPOT CREEK AT WILMINGTON, DE",-75.5186944,39.7609722,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01477800
1478000,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",-75.72788889,39.63738889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01478000
1478650,"WHITE CLAY CREEK AT NEWARK, DE",-75.74875,39.6892222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01478650
1479000,"WHITE CLAY CREEK NEAR NEWARK, DE",-75.67502778,39.6992222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01479000
1480000,"RED CLAY CREEK AT WOODDALE, DE",-75.6365,39.76280556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01480000
1480015,"RED CLAY CREEK NEAR STANTON, DE",-75.6399444,39.71575,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01480015
1480017,"RED CLAY CREEK TRIBUTARY AT MARSHALLTON, DE",-75.6518611,39.72741667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01480017
1480065,"CHRISTINA RIVER AT NEWPORT, DE",-75.6087222,39.71063889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01480065
1480120,"CHRISTINA RIVER AT WILMINGTON, DE",-75.5405556,39.7360833,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01480120
1481500,"BRANDYWINE CREEK AT WILMINGTON, DE",-75.5766944,39.7695,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01481500
1482170,"DELAWARE RIVER AT NEW CASTLE, DE",-75.562,39.65680556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01482170
1483155,"SILVER LAKE TRIBUTARY AT MIDDLETOWN, DE",-75.7094722,39.4309722,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01483155
1483200,"BLACKBIRD CREEK AT BLACKBIRD, DE",-75.66938889,39.36627778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01483200
1483500,"LEIPSIC RIVER NEAR CHESWOLD, DE",-75.6323056,39.2328611,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01483500
1483510,"GARRISONS LAKE NEAR CHESWOLD, DE",-75.58838889,39.24430556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01483510
1483700,"ST JONES RIVER AT DOVER, DE",-75.5190833,39.1637222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01483700
