SiteNumber, SiteName, SiteLongitude, SiteLatitude, SiteNWISURL
9379200,"CHINLE CREEK NEAR MEXICAN WATER, AZ",-109.7106684,36.943891,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09379200
9380000,"COLORADO RIVER AT LEES FERRY, AZ",-111.5878722,36.8643333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09380000
9382000,"PARIA RIVER AT LEES FERRY, AZ",-111.5946052,36.87220977,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09382000
9383300,"FILLER DITCH AT GREER, AZ",-109.457868,34.01615875,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09383300
9383400,"LITTLE COLORADO RIVER AT GREER, AZ",-109.4573125,34.0167143,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09383400
9383409,"SOUTH FORK LITTLE COLORADO RIVER NEAR GREER, AZ",-109.4011667,34.0555,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09383409
9384000,"LITTLE COLORADO R ABV LYMAN LAKE NR ST. JOHNS, AZ",-109.362315,34.31448635,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09384000
9384600,"LYMAN LAKE NEAR ST. JOHNS, AZ",-109.3848182,34.37448424,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09384600
9385700,"LITTLE COLORADO RIVER BELOW SALADO SPRINGS, AZ",-109.3623199,34.4505935,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09385700
9386030,"LITTLE COLORADO RVR ABV ZION RES. NR ST. JOHNS, AZ",-109.4070467,34.5836456,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09386030
9386300,"LITTLE COLORADO RVR BLW ZION RES. NR ST JOHNS, AZ",-109.4892735,34.6047544,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09386300
9390500,"SHOW LOW CREEK NEAR LAKESIDE, AZ",-109.9878858,34.17948755,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09390500
9394500,"LITTLE COLORADO RIVER AT WOODRUFF, AZ",-110.0442837,34.7828076,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09394500
9396100,"PUERCO RIVER NEAR CHAMBERS, AZ",-109.4470509,35.18224625,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09396100
9397000,"LITTLE COLORADO RIVER AT HOLBROOK, AZ",-110.1631768,34.8978039,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09397000
9397300,"LITTLE COLORADO RIVER NEAR JOSEPH CITY, AZ",-110.2554013,34.90113674,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09397300
9397500,"CHEVELON FORK BELOW WILDCAT CANYON, NR WINSLOW, AZ",-110.7142957,34.6364196,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09397500
