SiteNumber, SiteName, SiteLongitude, SiteLatitude, SiteNWISURL
6614800,"MICHIGAN RIVER NEAR CAMERON PASS, CO",-105.8650119,40.49609409,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06614800
6620000,"NORTH PLATTE RIVER NEAR NORTHGATE, CO",-106.3391944,40.93663889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06620000
6659580,SAND CREEK AT COLORADO-WYOMING STATE LINE,-105.7597028,40.99365,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06659580
6696980,"TARRYALL CREEK AT UPPER STATION NEAR COMO, CO",-105.9116813,39.33943296,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06696980
6700000,"SOUTH PLATTE RIVER ABOVE CHEESMAN LAKE, CO.",-105.3102732,39.16276858,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06700000
6701620,"TROUT CREEK BLW FERN CR NR WESTCREEK, CO.",-105.1222112,39.16749104,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06701620
6701700,WEST CR. ABV SHREWSBURY GULCH NR WESTCREEK CO,-105.1600111,39.145425,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06701700
6701900,"SOUTH PLATTE RIVER BLW BRUSH CRK NEAR TRUMBULL, CO",-105.2219379,39.25999025,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06701900
6708600,"WEST PLUM CREEK NEAR PERRY PARK, CO",-104.9519028,39.2594722,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06708600
6708690,"WEST PLUM CREEK AT SEDALIA, CO",-104.9677778,39.42927778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06708690
6708800,"EAST PLUM CR ABV HASKINS GULCH NR CASTLE ROCK, CO",-104.9046111,39.423,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06708800
6709000,"PLUM CREEK NEAR SEDALIA, CO.",-104.9830387,39.43832246,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06709000
6709530,"PLUM CREEK AT TITAN ROAD NEAR LOUVIERS, CO",-105.0244667,39.50736944,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06709530
6709740,"LEE GULCH AT LITTLETON, CO",-105.0160278,39.5961111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06709740
6709910,"DUTCH CR AT PLATTE CANYON DRIVE NEAR LITTLETON, CO",-105.0419222,39.6001111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06709910
6710150,"BIG DRY CREEK BELOW C-470 AT HIGHLANDS RANCH, CO",-104.927758,39.5633216,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06710150
6710247,"SOUTH PLATTE RIVER BELOW UNION AVE, AT ENGLEWOOD,C",-105.014983,39.6324876,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06710247
6710385,"BEAR CREEK ABOVE EVERGREEN, CO",-105.3369444,39.63316667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06710385
6710605,"BEAR CREEK ABOVE BEAR CREEK LAKE NEAR MORRISON, CO",-105.17325,39.65202778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06710605
6711515,"LITTLE DRY CREEK NR ARAPAHOE RD AT CENTENNIAL, CO",-104.9065,39.5937361,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06711515
6711555,"LITTLE DRY CREEK ABOVE ENGLEWOOD, CO",-104.9788705,39.6491542,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06711555
6711565,"SOUTH PLATTE RIVER AT ENGLEWOOD, CO.",-105.004149,39.66498738,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06711565
6711570,"HARVARD GULCH AT COLORADO BLVD. AT DENVER, CO",-104.9425083,39.66920278,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06711570
