SiteNumber, SiteName, SiteLongitude, SiteLatitude, SiteNWISURL
5387320,"Upper Iowa River at Lime Springs, IA",-92.2975278,43.46677778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05387320
5387405,"Upper Iowa River at Kendallville, IA",-92.0359444,43.44130556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05387405
5387440,"Upper Iowa River at Bluffton, IA",-91.8990464,43.40691316,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05387440
5387490,"Dry Run Creek near Decorah, IA",-91.8093215,43.2913611,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05387490
5387500,"Upper Iowa River at Decorah, IA",-91.7955429,43.3048888,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05387500
5388250,"Upper Iowa River near Dorchester, IA",-91.5087519,43.4210841,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05388250
5388310,"Waterloo Creek near Dorchester, IA",-91.5051407,43.45108357,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05388310
5389000,"Yellow River near Ion, IA",-91.2651317,43.11192665,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05389000
5389400,"Bloody Run Creek near Marquette, IA",-91.2065192,43.04081747,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05389400
5389500,"Mississippi River at McGregor, IA",-91.1726298,43.02701224,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05389500
5411500,"Mississippi River at Clayton, IA",-91.1451296,42.9035981,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05411500
5411600,"Turkey River at Spillville, IA",-91.9503333,43.20727778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05411600
5411850,"Turkey River near Eldorado, IA",-91.8090983,43.0541879,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05411850
5412020,"Turkey River above French Hollow Cr at Elkader, IA",-91.4012767,42.84348517,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05412020
5412400,"Volga River at Littleport, IA",-91.3690252,42.7538753,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05412400
5412500,"Turkey River at Garber, IA",-91.261799,42.7399884,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05412500
5414400,"Middle Fk Little Maquoketa R nr Rickardsville, IA",-90.85985079,42.56055427,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05414400
