SiteNumber, SiteName, SiteLongitude, SiteLatitude, SiteNWISURL
3207965,"GRAPEVINE CREEK NEAR PHYLLIS, KY",-82.3537563,37.43260479,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03207965
3208000,"LEVISA FORK BELOW FISHTRAP DAM NEAR MILLARD, KY",-82.4123701,37.42593725,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03208000
3209410,"RUSSELL FORK AT CEDARVILLE, KY",-82.3595549,37.31295507,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03209410
3209500,"LEVISA FORK AT PIKEVILLE, KY",-82.5262632,37.4642676,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03209500
3209800,"LEVISA FORK AT PRESTONSBURG, KY",-82.7771043,37.67093027,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03209800
3210000,"JOHNS CREEK NEAR META, KY",-82.45792659,37.5670444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03210000
3211500,"JOHNS CREEK NEAR VAN LEAR, KY",-82.72404689,37.74370748,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03211500
3212500,"LEVISA FORK AT PAINTSVILLE, KY",-82.7915493,37.81537197,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03212500
3215000,"BIG SANDY R AT LOUISA, KY",-82.6346023,38.17119708,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03215000
3215410,"BLAINE CREEK NEAR BLAINE, KY",-82.846829,38.0295332,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03215410
3216000,"OHIO RIVER AT ASHLAND, KY",-82.6365497,38.4811922,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03216000
3216070,"OHIO RIVER AT IRONTON, OH",-82.6859444,38.53205556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03216070
