SiteNumber, SiteName, SiteLongitude, SiteLatitude, SiteNWISURL
4010500,PIGEON RIVER AT MIDDLE FALLS NR GRAND PORTAGE MN,-89.6161984,48.01210765,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04010500
4015330,"KNIFE RIVER NEAR TWO HARBORS, MN",-91.7924013,46.94688005,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04015330
4015438,"ST. LOUIS RIVER NEAR SKIBO, MN",-92.04,47.4811111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04015438
4021520,"STONEY BROOK AT PINE DRIVE NEAR BROOKSTON, MN",-92.6366667,46.78166667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04021520
4024000,"ST. LOUIS RIVER AT SCANLON, MN",-92.4188018,46.7032765,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04024000
5030500,"OTTER TAIL RIVER NEAR ELIZABETH, MN",-96.0175556,46.3694039,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05030500
5046000,"OTTER TAIL RIVER BL ORWELL D NR FERGUS FALLS, MN",-96.1850614,46.20968199,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05046000
5046475,"OTTER TAIL RIVER DIVERSION AT BRECKENRIDGE, MN",-96.5825733,46.2824591,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05046475
5049000,"MUSTINKA RIVER ABOVE WHEATON, MN",-96.4906218,45.820794,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05049000
5051300,"BOIS DE SIOUX RIVER NEAR DORAN, MN",-96.5792389,46.1521813,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05051300
5061000,"BUFFALO RIVER NEAR HAWLEY, MN",-96.3295093,46.84995979,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05061000
5061500,"SOUTH BRANCH BUFFALO RIVER AT SABIN, MN",-96.6281318,46.7755175,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05061500
5062000,"BUFFALO RIVER NEAR DILWORTH, MN",-96.661465,46.9610736,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05062000
5062500,"WILD RICE RIVER AT TWIN VALLEY, MN",-96.2475,47.26555556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05062500
5063398,"S. BR. WILD RICE RIVER AT CO. RD. 27 NR FELTON, MN",-96.3858333,47.1133333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05063398
5064000,"WILD RICE RIVER AT HENDRUM, MN",-96.7975783,47.26802728,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05064000
5064500,"RED RIVER OF THE NORTH AT HALSTAD, MN",-96.843691,47.351918,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05064500
5067500,"MARSH RIVER NEAR SHELLY, MN",-96.764244,47.41247148,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05067500
