SiteNumber, SiteName, SiteLongitude, SiteLatitude, SiteNWISURL
1367715,Wallkill R at Scott Road at Franklin NJ,-74.5786111,41.1333333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01367715
1376950,Lake Tappan at Old Tappan NJ,-74.0011111,41.0183333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01376950
1377000,Hackensack River at Rivervale NJ,-73.9891667,40.99916667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01377000
1377370,Pascack Brook at Park Ridge NJ,-74.0391667,41.03666667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01377370
1377450,Woodcliff Lake at Hillsdale NJ,-74.0491667,41.01277778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01377450
1377451,Pascack Bk at Woodcliff Lk outlet at Hillsdale NJ,-74.0480556,41.01194444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01377451
1377500,Pascack Brook at Westwood NJ,-74.0211111,40.99277778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01377500
1378480,Oradell Reservoir at Oradell NJ,-74.0294444,40.95638889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01378480
1378500,Hackensack River at New Milford NJ,-74.0266667,40.9483333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01378500
1379000,Passaic River near Millington NJ,-74.52888889,40.68,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01379000
1379500,Passaic River near Chatham NJ,-74.3897222,40.7261111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01379500
1379530,Canoe Brook near Summit NJ,-74.3536111,40.74444444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01379530
1379773,Green Pond Brook at Picatinny Arsenal NJ,-74.5397222,40.96,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01379773
1379780,Green Pond Bk blw Picatinny Lk at Picatinny Ars NJ,-74.5572222,40.94944444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01379780
1379845,Rockaway River at Warren Street at Dover NJ,-74.56,40.8861111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01379845
1380450,Rockaway River at Main Street at Boonton NJ,-74.4191667,40.9075,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01380450
1380900,Boonton Reservoir at Boonton NJ,-74.39777778,40.89527778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01380900
1381000,Rockaway River below Reservoir at Boonton NJ,-74.3947222,40.89694444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01381000
1381400,Whippany River near Morristown NJ,-74.5119444,40.8122222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01381400
1381500,Whippany River at Morristown NJ,-74.4569444,40.8072222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01381500
1381800,Whippany River near Pine Brook NJ,-74.3472222,40.845,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01381800
1381900,Passaic River at Pine Brook NJ,-74.3216667,40.8625,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01381900
1381940,Passaic R at Horse Neck Bridge near Pine Bk NJ,-74.34,40.8822222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01381940
1382210,Pequannock River at Oak Ridge NJ,-74.5016667,41.0397222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01382210
1382385,Pequannock River at Green Pond Junction NJ,-74.4083333,41.0247222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01382385
1382500,Pequannock River at Macopin Intake Dam NJ,-74.4011111,41.0183333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01382500
1382800,Pequannock River at Riverdale NJ,-74.2980556,40.9986111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01382800
1383000,Greenwood Lake at Awosting NJ,-74.3333333,41.16166667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01383000
1383500,Wanaque River at Awosting NJ,-74.3336111,41.16027778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01383500
1384500,Ringwood Creek near Wanaque NJ,-74.2658333,41.1272222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01384500
1386000,West Brook near Wanaque NJ,-74.3116667,41.0736111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01386000
1386990,Wanaque Reservoir at Wanaque NJ,-74.29527778,41.045,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01386990
1387000,Wanaque River at Wanaque NJ,-74.2930556,41.04416667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01387000
1387500,Ramapo River near Mahwah NJ,-74.16277778,41.09805556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01387500
1387905,Ramapo River at West Oakland Avenue at Oakland NJ,-74.25,41.0275,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01387905
1387940,Ramapo River at Lakeside Ave at Pompton Lakes NJ,-74.2744444,41.0072222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01387940
1387998,Ramapo River above dam at Pompton Lakes NJ,-74.27888889,40.99277778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01387998
1388000,Ramapo River at Pompton Lakes NJ,-74.28,40.99194444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01388000
1388100,Ramapo River at Dawes Highway at Pompton NJ,-74.2794444,40.98555556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01388100
1388500,Pompton River at Pompton Plains NJ,-74.2819444,40.9697222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01388500
1388700,Beaver Dam Brook at Lincoln Park NJ,-74.3025,40.9247222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01388700
1388910,Pompton River at Mountain View NJ,-74.2705556,40.91444444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01388910
1389005,Passaic River below Pompton Riv at Two Bridges NJ,-74.2691667,40.89638889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01389005
1389010,Passaic River at I-80 at Singac NJ,-74.2661111,40.89444444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01389010
1389492,Passaic River abv Beatties Dam at Little Falls NJ,-74.2344444,40.88444444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01389492
1389500,Passaic River at Little Falls NJ,-74.2261111,40.8847222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01389500
1389534,Peckman River at Ozone Ave at Verona NJ,-74.2355556,40.845,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01389534
1389550,Peckman River at Little Falls NJ,-74.2222222,40.87194444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01389550
1389765,Molly Ann Brook at North Haledon NJ,-74.1847222,40.95305556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01389765
1389802,Passaic R at Passaic (Great) Falls at Paterson NJ,-74.1816667,40.9158333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01389802
1389890,Passaic River at Dundee Dam at Clifton NJ,-74.1283333,40.8858333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01389890
1390450,Saddle River at Upper Saddle River NJ,-74.0955556,41.0586111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01390450
1390500,Saddle River at Ridgewood NJ,-74.0905556,40.985,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01390500
1391000,Hohokus Brook at Ho-Ho-Kus NJ,-74.1119444,40.99777778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01391000
1391102,Saddle River below Hohokus Brook at Paramus NJ,-74.0997222,40.95527778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01391102
1391500,Saddle River at Lodi NJ,-74.0805556,40.89027778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01391500
1392170,Third River at Bloomfield NJ,-74.18777778,40.8,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01392170
1392500,Second River at Belleville NJ,-74.1716667,40.78805556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01392500
1393450,Elizabeth River at Ursino Lake at Elizabeth NJ,-74.2219444,40.675,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01393450
1393890,East Branch Rahway River at Maplewood NJ,-74.2705556,40.7347222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01393890
1393895,East Br Rahway Riv at Millburn Ave at Millburn NJ,-74.285,40.72277778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01393895
1394000,West Branch Rahway River at Millburn NJ,-74.3075,40.73166667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01394000
1394500,Rahway River near Springfield NJ,-74.3116667,40.6875,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01394500
1394620,Rahway River at Kenilworth NJ,-74.3130556,40.67305556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01394620
1395000,Rahway River at Rahway NJ,-74.2833333,40.61888889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01395000
1396000,Robinsons Branch at Rahway NJ,-74.2997222,40.6058333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01396000
1396500,South Branch Raritan River near High Bridge NJ,-74.8791667,40.67777778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01396500
1396582,Spruce Run at Main Street at Glen Gardner NJ,-74.9369444,40.69138889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01396582
1396660,Mulhockaway Creek at Van Syckel NJ,-74.96888889,40.6475,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01396660
1396790,Spruce Run Reservoir at Clinton NJ,-74.9236111,40.6436111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01396790
1396800,Spruce Run at Clinton NJ,-74.9155556,40.64,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01396800
1397000,South Branch Raritan River at Stanton NJ,-74.8680556,40.5722222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01397000
1397420,SB Raritan R at Black Point Rd at Neshanic Sta NJ,-74.7425,40.50194444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01397420
1398000,Neshanic River at Reaville NJ,-74.82777778,40.4733333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01398000
1398102,South Branch Raritan River at South Branch NJ,-74.69638889,40.54694444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01398102
1398500,North Branch Raritan River near Far Hills NJ,-74.6361111,40.7083333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01398500
1399100,Middle Brook at Burnt Mills NJ,-74.6816667,40.64944444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01399100
1399500,Lamington (Black) River near Pottersville NJ,-74.73027778,40.7275,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01399500
1399670,South B Rockaway Creek at Whitehouse Station NJ,-74.7736111,40.61944444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01399670
1399780,Lamington River at Burnt Mills NJ,-74.6866667,40.6347222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01399780
1399830,North Branch Raritan River at North Branch NJ,-74.67388889,40.6,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01399830
1400000,North Branch Raritan River near Raritan NJ,-74.6791667,40.57055556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01400000
1400010,North Branch Raritan River at South Branch NJ,-74.6875,40.55666667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01400010
1400360,Peters Brook at Mercer St at Somerville NJ,-74.6158333,40.575,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01400360
1400500,Raritan River at Manville NJ,-74.58277778,40.55555556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01400500
1401000,Stony Brook at Princeton NJ,-74.6819444,40.33305556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01401000
1401650,Pike Run at Belle Mead NJ,-74.64888889,40.46805556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01401650
1401750,Millstone River at Griggstown NJ,-74.6175,40.44,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01401750
1402000,Millstone River at Blackwells Mills NJ,-74.5758333,40.475,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01402000
