SiteNumber, SiteName, SiteLongitude, SiteLatitude, SiteNWISURL
5051500,"RED RIVER OF THE NORTH AT WAHPETON, ND",-96.5986848,46.26607,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05051500
505152130,"RED RIVER OF THE NORTH AT ENLOE, ND",-96.7388889,46.49888889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=0505152130
5051522,"RED RIVER OF THE NORTH AT HICKSON, ND",-96.7959154,46.65968548,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05051522
5051600,"WILD RICE RIVER NR RUTLAND, ND",-97.511485,46.0221855,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05051600
5052000,"WILD RICE RIVER NEAR MANTADOR, ND",-97.0106403,46.17245926,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05052000
5052500,"ANTELOPE CREEK AT DWIGHT, ND",-96.7345217,46.31134769,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05052500
5053000,"WILD RICE RIVER NR ABERCROMBIE, ND",-96.7823018,46.4705168,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05053000
5054000,"RED RIVER OF THE NORTH AT FARGO, ND",-96.7836924,46.861075,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05054000
5054500,"SHEYENNE RIVER ABOVE HARVEY, ND",-99.9490145,47.7027775,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05054500
5055300,"SHEYENNE R AB DEVILS LK STATE OUTLET NR FLORA, ND",-99.4155556,47.90777778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05055300
5055400,"SHEYENNE R BL DEVILS LK STATE OUTLET NR BREMEN, ND",-99.2761111,47.82138889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05055400
5056000,"SHEYENNE RIVER NR WARWICK, ND",-98.7162172,47.8055534,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05056000
5056060,"MAUVAIS COULEE TRIB NO. 3 NR CANDO, ND",-99.2243037,48.4575008,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05056060
5056100,"MAUVAIS COULEE NR CANDO, ND",-99.1026354,48.4480588,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05056100
5056200,"EDMORE COULEE NR EDMORE, ND",-98.6603958,48.33667157,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05056200
5056215,"EDMORE COULEE TRIB NR WEBSTER, ND",-98.6809499,48.2663928,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05056215
5056222,"MORRISON LAKE NEAR WEBSTER, ND",-98.8470683,48.25972559,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05056222
5056239,"STARKWEATHER COULEE NR WEBSTER, ND",-98.9406851,48.3205591,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05056239
5056241,"DRY LAKE NEAR PENN, ND",-98.983463,48.23111277,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05056241
5056265,"BIG COULEE AT HWY 2 NEAR CHURCHS FERRY, ND",-99.1876342,48.26166538,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05056265
5056340,"LITTLE COULEE NR LEEDS, ND",-99.3729125,48.2433322,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05056340
5056500,"DEVILS LAKE NR DEVILS LAKE, ND",-98.9031773,48.09944515,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05056500
5056665,"EASTERN STUMP LAKE NR LAKOTA, ND",-98.3578795,47.8686089,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05056665
5056678,"TOLNA COULEE NEAR TOLNA, ND",-98.4944444,47.8608333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05056678
5056995,"SHEYENNE RIVER ON HWY 200 NEAR COOPERSTOWN, ND",-98.0191667,47.43916667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05056995
