SiteNumber, SiteName, SiteLongitude, SiteLatitude, SiteNWISURL
3086500,Mahoning River at Alliance OH,-81.0945413,40.93283615,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03086500
3090500,Mahoning River bl Berlin Dam nr Berlin Center OH,-81.0012032,41.0483912,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03090500
3091500,Mahoning River at Pricetown OH,-80.9712018,41.1314461,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03091500
3092090,West Branch Mahoning River near Ravenna OH,-81.1970453,41.16144549,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03092090
3092460,West Branch Mahoning River at Wayland OH,-81.0717621,41.15700127,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03092460
3093000,Eagle Creek at Phalanx Station OH,-80.9542569,41.26116735,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03093000
3094000,Mahoning River at Leavittsburg OH,-80.880642,41.23922335,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03094000
3094704,Mosquito Creek near Greene Center OH,-80.7461111,41.48305556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03094704
3095500,Mosquito Creek bl Mosquito Ck Dam nr Cortland OH,-80.7584141,41.29977898,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03095500
3098600,Mahoning River below West Ave at Youngstown OH,-80.6625755,41.10505807,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03098600
3098700,Crab Creek at Youngstown OH,-80.6353523,41.11172469,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03098700
3099500,Mahoning River at Lowellville OH,-80.5361815,41.03672598,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03099500
3102950,Pymatuning Creek at Kinsman OH,-80.58812999,41.44283235,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03102950
3109500,Little Beaver Creek near East Liverpool OH,-80.5406244,40.6758974,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03109500
3110000,Yellow Creek near Hammondsville OH,-80.7250777,40.53784235,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03110000
3110685,"OHIO R AT NEW CUMBERLAND LOCK & DAM (UPPER), OH",-80.62673998,40.5283988,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03110685
3110690,"OHIO R AT NEW CUMBERLAND LOCK & DAM (LOWER), OH",-80.6256288,40.52812107,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03110690
3111500,Short Creek near Dillonvale OH,-80.7342482,40.19340427,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03111500
3111548,Wheeling Creek below Blaine OH,-80.8084198,40.0670164,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03111548
3113990,Captina Creek at S.R. 148 at Armstrongs Mills OH,-80.9359288,39.9067395,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03113990
3114275,"OHIO RIVER AT HANNIBAL LOCK AND DAM (UPPER), OH",-80.86593189,39.66757665,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03114275
3114280,"OHIO RIVER AT HANNIBAL LOCK AND DAM (LOWER), OH",-80.8659319,39.66729887,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03114280
3114306,"OHIO RIVER ABOVE SARDIS, OH",-80.8747222,39.63027778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03114306
3115400,Little Muskingum River at Bloomfield OH,-81.2037236,39.5631294,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03115400
3115644,East Fork Duck Creek near Harrietsville OH,-81.371975,39.6128833,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03115644
3115712,West Fork Duck Creek at Macksburg OH,-81.4608333,39.63160556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03115712
3115786,Duck Creek below Whipple OH,-81.4230556,39.50888889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03115786
3115917,Tuscarawas River above Barberton OH,-81.5602778,41.02,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03115917
3116077,Chippewa Creek at Miller Rd at Sterling OH,-81.8505556,40.96638889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03116077
3117000,Tuscarawas River at Massillon OH,-81.5240098,40.7703357,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03117000
3117500,Sandy Creek at Waynesburg OH,-81.2598308,40.6725609,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03117500
