SiteNumber, SiteName, SiteLongitude, SiteLatitude, SiteNWISURL
5049995,"MUD LAKE ABOVE WHITE ROCK DAM NEAR WHITE ROCK, SD",-96.5725691,45.86134908,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05049995
5050000,"BOIS DE SIOUX RIVER NEAR WHITE ROCK, SD",-96.573958,45.86246018,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05050000
5290000,"LITTLE MINNESOTA RIVER NEAR PEEVER, SD",-96.8755556,45.6158333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05290000
5291000,"WHETSTONE RIVER NEAR BIG STONE CITY, SD",-96.487557,45.2916316,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05291000
6334500,"LITTLE MISSOURI R AT CAMP CROOK,SD",-103.9712386,45.5481343,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06334500
6354881,"OAK CREEK NR RATTLESNAKE BUTTE NR WAKPALA, SD",-100.596275,45.72842778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06354881
6355500,"NORTH FORK GRAND R NEAR WHITE BUTTE,SD",-102.3623795,45.80222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06355500
6356500,"SOUTH FORK GRAND R NEAR CASH,SD",-102.6433259,45.6486883,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06356500
6357800,"GRAND R AT LITTLE EAGLE,SD",-100.8181933,45.65777405,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06357800
6359500,"MOREAU R NEAR FAITH,SD",-102.1565472,45.19775826,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06359500
6360500,"MOREAU R NEAR WHITEHORSE,SD",-100.8429214,45.2558171,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06360500
6395000,"CHEYENNE R AT EDGEMONT,SD",-103.8210312,43.3055286,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06395000
6400000,"HAT CR NEAR EDGEMONT,SD",-103.5882519,43.2399736,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06400000
6400875,"HORSEHEAD CR AT OELRICHS,SD",-103.2265866,43.18803166,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06400875
6401500,"CHEYENNE R BELOW ANGOSTURA DAM,SD",-103.4371412,43.34497757,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06401500
6402000,"FALL R AT HOT SPRINGS,SD",-103.4763069,43.43053476,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06402000
6402430,"BEAVER CREEK NEAR PRINGLE, SD",-103.4765835,43.58137177,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06402430
6402500,"BEAVER CR NEAR BUFFALO GAP,SD",-103.3060308,43.4666495,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06402500
6402600,CHEYENNE R NEAR BUFFALO GAP SD,-103.0744103,43.5019636,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06402600
6403300,FRENCH CR ABOVE FAIRBURN SD,-103.3679713,43.7172105,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06403300
6403700,"CHEYENNE RIVER AT RED SHIRT, SD",-102.8921298,43.6724058,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06403700
6403810,"BATTLE CR ABOVE KEYSTONE,SD",-103.4638602,43.905032,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06403810
6403850,"GRIZZLY BEAR CREEK NEAR KEYSTONE,SD",-103.4376907,43.8780433,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06403850
6404000,"BATTLE CR NEAR KEYSTONE,SD",-103.3363029,43.87164727,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06404000
6404998,"GRACE COOLIDGE CR NR GAME LODGE NR CUSTER,SD",-103.3640816,43.76110028,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06404998
6406000,"BATTLE CR AT HERMOSA,SD",-103.1960211,43.82804586,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06406000
6406500,"BATTLE CR BELOW HERMOSA,SD",-102.9061231,43.72543145,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06406500
6406700,"SPRING CR AT OREVILLE, NR HILL CITY,SD",-103.6240667,43.8662367,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06406700
6406740,"SUNDAY GULCH BL JOHNSON CANYON NR HILL CITY,SD",-103.5824158,43.8694294,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06406740
6406760,"RENO GULCH NEAR HILL CITY,SD",-103.6124162,43.9097067,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06406760
6407500,"SPRING CR NEAR KEYSTONE,SD",-103.3460469,43.97871038,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06407500
6408650,"CHEYENNE RIVER NEAR SCENIC, SD",-102.6440611,43.8980449,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06408650
6409000,"CASTLE CR ABOVE DEERFIELD RES NEAR HILL CITY,SD",-103.8304784,44.01359238,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06409000
6410000,CASTLE CR BELOW DEERFIELD DAM SD,-103.7818652,44.02914848,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06410000
6410500,"RAPID CR ABOVE PACTOLA RES AT SILVER CITY,  SD",-103.5804702,44.08470785,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06410500
6411500,"RAPID CR BELOW PACTOLA DAM,SD",-103.482134,44.07665378,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06411500
6411900,"RAPID CR ABV JOHNSON SIDING BLW PACTOLA DAM,SD",-103.4429383,44.08198719,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06411900
6412000,"RAPID CR AT BIG BEND NR RAPID CITY,SD",-103.417132,44.05498747,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06412000
6412200,"RAPID CREEK AB VICTORIA CR NR RAPID CITY, SD",-103.3515742,44.0465988,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06412200
6412220,"VICTORIA CR ABOVE VICTORIA DAM NR RAPID CITY,SD",-103.4354937,44.02990427,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06412220
6412250,"VICTORIA CR BELOW VICTORIA DAM NR RAPID CITY,SD",-103.385742,44.01804337,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06412250
6412500,"RAPID CR ABOVE CANYON LAKE NEAR RAPID CITY,SD",-103.3118507,44.05276555,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06412500
6412580,"WILD IRISHMAN GULCH NEAR RAPID CITY,SD",-103.3654636,44.08109855,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06412580
6412810,"CLEGHORN SPRINGS AT RAPID CITY, SD",-103.2974058,44.05887667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06412810
6413620,"SOUTH CANYON NEAR RAPID CITY,SD",-103.3274068,44.09276526,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06413620
6414000,"RAPID CR AT RAPID CITY,SD",-103.241843,44.08551554,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06414000
6416000,"RAPID CR BELOW HAWTHORN DITCH AT RAPID CITY,SD",-103.18093,44.06726568,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06416000
6418800,"RAPID CREEK ABOVE WRF NR RAPID CITY, SD",-103.1011111,44.02680556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06418800
6421500,"RAPID CR NEAR FARMINGDALE,SD",-102.8539247,43.94210239,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06421500
6422500,"BOXELDER CR NEAR NEMO,SD",-103.4545385,44.1443339,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06422500
6423010,"BOXELDER CR NEAR RAPID CITY,SD",-103.2987949,44.131654,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06423010
6423500,"CHEYENNE RIVER NEAR WASTA, SD",-102.4012746,44.08109849,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06423500
6424000,"ELK CR NEAR ROUBAIX,SD",-103.5968592,44.2947073,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06424000
6425100,"ELK CR NR RAPID CITY,SD",-103.1512907,44.2402646,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06425100
6425500,"ELK CR NEAR ELM SPRINGS,SD",-102.5032217,44.24831768,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06425500
6429997,MURRAY DITCH AB HEADGATE AT WY-SD STATE LINE,-104.0560453,44.5763739,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06429997
6430500,REDWATER CR AT WY-SD STATE LINE,-104.0535508,44.5719044,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06430500
6430770,"SPEARFISH CREEK NEAR LEAD, SD",-103.8681641,44.29921736,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06430770
6430850,"LITTLE SPEARFISH CREEK NEAR LEAD, SD",-103.9359118,44.3496865,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06430850
6431500,"SPEARFISH CR AT SPEARFISH,SD",-103.861592,44.48248388,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06431500
6433000,"REDWATER RIVER ABOVE BELLE FOURCHE,SD",-103.8393696,44.66720665,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06433000
6434505,"INLET CANAL ABOVE BELLE FOURCHE RESERVOIR,SD",-103.7327817,44.70092898,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06434505
6436000,"BELLE FOURCHE R NEAR FRUITDALE,SD",-103.7376985,44.6908178,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06436000
6436180,"WHITEWOOD CR ABOVE WHITEWOOD,SD",-103.6293606,44.4422065,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06436180
6436190,"WHITEWOOD CREEK NEAR WHITEWOOD,SD",-103.5719867,44.54175655,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06436190
6436198,"WHITEWOOD CR ABOVE VALE,SD",-103.4807452,44.617485,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06436198
6437000,"BELLE FOURCHE R NEAR STURGIS,SD",-103.1368464,44.5130418,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06437000
6437020,"BEAR BUTTE CREEK NEAR DEADWOOD, SD",-103.6354716,44.3355403,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06437020
6437200,"BEAR BUTTE CR NEAR GALENA,SD",-103.5826922,44.3963735,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06437200
6438000," BELLE FOURCHE RIVER NEAR ELM SPRINGS,SD",-102.5665256,44.369989,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06438000
6438500,"CHEYENNE R NEAR PLAINVIEW,SD",-101.9301531,44.5294304,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06438500
6440000,"MISSOURI R AT PIERRE,SD",-100.3679114,44.3730377,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06440000
6440200,"SOUTH FORK BAD R NEAR COTTONWOOD,SD",-101.767229,43.9690175,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06440200
6441000,"BAD R NEAR MIDLAND,SD",-101.1608623,44.0672095,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06441000
6441500,"BAD R NEAR FORT PIERRE,SD",-100.3843003,44.32664897,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06441500
6441590,"MISSOURI R AT LAFRAMBOISE ISLAND AT PIERRE, SD",-100.359022,44.35192678,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06441590
6441592,"MISSOURI R BL LA FRAMBOISE ISLAND, AT PIERRE,SD",-100.32041,44.3460937,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06441592
6441595,"MISSOURI R AT FARM ISLAND NR PIERRE, SD",-100.2654085,44.3341497,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06441595
6442130,"CEDAR CREEK NR PRESHO, SD",-100.0848464,44.14026325,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06442130
6442600,"MEDICINE CREEK NR LOWER BRULE, SD",-99.745113,44.01637796,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06442600
6442996,"LAKE FRANCIS CASE AT CHAMBERLAIN, SD",-99.3273223,43.8161058,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06442996
6445685,WHITE R NR NE-SD STATE LINE,-102.8357327,43.013036,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06445685
6446000,WHITE R NEAR OGLALA SD,-102.8273511,43.25484357,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06446000
6446500,"WHITE R NEAR INTERIOR,SD",-101.9326516,43.69388346,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06446500
6446700,"BEAR IN THE LODGE CR NEAR WANBLEE,SD",-101.7985923,43.53666558,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06446700
