SiteNumber, SiteName, SiteLongitude, SiteLatitude, SiteNWISURL
1118300,"PENDLETON HILL BROOK NEAR CLARKS FALLS, CT",-71.8342361,41.4748222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01118300
1119382,"WILLIMANTIC RIVER AT MERROW RD. NEAR MERROW, CT",-72.3128472,41.8240111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01119382
1119500,"WILLIMANTIC RIVER NEAR COVENTRY, CT",-72.26563469,41.7506544,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01119500
1120790,"NATCHAUG RIVER AT MARCY RD. NEAR CHAPLIN, CT",-72.1061694,41.81616944,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01120790
1121000,"MOUNT HOPE RIVER NEAR WARRENVILLE, CT",-72.1689662,41.8437089,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01121000
1121330,"FENTON RIVER AT MANSFIELD, CT",-72.2427806,41.83319444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01121330
1122000,"NATCHAUG RIVER AT WILLIMANTIC, CT",-72.195575,41.7201,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01122000
1122500,"SHETUCKET RIVER NEAR WILLIMANTIC, CT",-72.1820223,41.70037644,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01122500
1123000,"LITTLE RIVER NEAR HANOVER, CT",-72.05229807,41.6717651,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01123000
11230695,"SHETUCKET RIVER AT TAFTVILLE, CT",-72.0462444,41.57000278,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=011230695
1124000,"QUINEBAUG RIVER AT QUINEBAUG, CT",-71.9556289,42.0223189,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01124000
1124151,"QUINEBAUG RIVER AT WEST THOMPSON, CT",-71.8995972,41.94356667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01124151
1125100,"FRENCH RIVER AT NORTH GROSVENORDALE, CT",-71.90051389,41.97846389,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01125100
1125490,"LITTLE RIVER AT HARRISVILLE, CT",-71.9300083,41.92784444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01125490
1125500,"QUINEBAUG RIVER AT PUTNAM, CT",-71.91386389,41.909475,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01125500
1127000,"QUINEBAUG RIVER AT JEWETT CITY, CT",-71.9840944,41.59749167,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01127000
1127500,"YANTIC RIVER AT YANTIC, CT",-72.1214666,41.5587094,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01127500
1184000,"CONNECTICUT RIVER AT THOMPSONVILLE, CT",-72.6053669,41.9873186,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01184000
1184100,"STONY BROOK NEAR WEST SUFFIELD, CT",-72.7104861,41.96083889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01184100
1184490,"BROAD BROOK AT BROAD BROOK, CT",-72.5497,41.9138972,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01184490
1186000,"WEST BRANCH FARMINGTON RIVER AT RIVERTON, CT",-73.017606,41.9628729,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01186000
1186500,"STILL RIVER AT ROBERTSVILLE, CT",-73.0334444,41.9679222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01186500
1187300,"HUBBARD RIVER NEAR WEST HARTLAND, CT",-72.93932778,42.0375,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01187300
1187800,"NEPAUG R NR NEPAUG, CT.",-72.9701041,41.8206529,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01187800
1188000,"BUNNELL BROOK NEAR BURLINGTON, CT",-72.9648261,41.786209,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01188000
1188090,"FARMINGTON RIVER AT UNIONVILLE, CT",-72.8870417,41.7555472,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01188090
1189000,"PEQUABUCK R AT FORESTVILLE, CT.",-72.90065738,41.673154,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01189000
1189995,"FARMINGTON RIVER AT TARIFFVILLE, CT",-72.75935278,41.9082833,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01189995
1190070,"CONNECTICUT RIVER AT HARTFORD, CT",-72.66755,41.76909444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01190070
