SiteNumber, SiteName, SiteLongitude, SiteLatitude, SiteNWISURL
16010000,"Kawaikoi Stream nr Waimea, Kauai, HI",-159.6199444,22.13280556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16010000
16019000,"Waialae Str at alt 3,820 ft nr Waimea, Kauai, HI",-159.5690833,22.08583333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16019000
16031000,"Waimea River near Waimea, Kauai, HI",-159.6600833,21.98038889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16031000
16060000,"SF Wailua River nr Lihue, Kauai, HI",-159.3801667,22.03669444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16060000
16068000,"EB of NF Wailua River nr Lihue, Kauai, HI",-159.4151667,22.06877778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16068000
16071500,"Left Branch Opaekaa Str nr Kapaa, Kauai, HI",-159.3958889,22.0756111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16071500
16094150,"Ka Loko Reservoir near Kilauea, Kauai, HI",-159.3790556,22.17897222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16094150
16097500,"Halaulani Str at alt 400 ft nr Kilauea, Kauai, HI",-159.418611,22.17863889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16097500
16103000,"Hanalei River nr Hanalei, Kauai, HI",-159.4663889,22.17958333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16103000
16108000,"Wainiha River nr Hanalei, Kauai, HI",-159.557861,22.13588889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16108000
16200000,"NF Kaukonahua Str abv RB, nr Wahiawa, Oahu, HI",-157.9453056,21.51627778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16200000
16208000,"SF Kaukonahua Str at E pump, nr Wahiawa, Oahu, HI",-157.9960556,21.48880556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16208000
16208400,"Ku Tree Reservoir near Wahiawa, Oahu, HI",-157.9807222,21.4973611,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16208400
16210000,"Wahiawa Reservoir at Spillway at Wahiawa, Oahu, HI",-158.0502778,21.49638889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16210000
16210100,"Wahiawa Ditch at Wahiawa, Oahu, HI",-158.0510278,21.50055556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16210100
16210200,"Kaukonahua Stream blw Wahiawa Reservoir, Oahu, HI",-158.0510833,21.50025,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16210200
16210500,"Kaukonahua Str at Waialua, Oahu, HI",-158.120361,21.56530556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16210500
16211600,"Makaha Str nr Makaha, Oahu, HI",-158.1801667,21.50158333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16211600
16212480,"Honouliuli Stream Tributary near Waipahu, Oahu, HI",-158.0669167,21.40183333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16212480
16212490,"Honouliuli Str at H-1 Freeway nr Waipahu, Oahu, HI",-158.0447778,21.37813889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16212490
16212601,"Waikele Str at Wheeler Field, Oahu, HI",-158.0444722,21.47230556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16212601
16213000,"Waikele Str at Waipahu, Oahu, HI",-158.0109167,21.38347222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16213000
16226200,"N. Halawa Str nr Honolulu, Oahu, HI",-157.9033333,21.382,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16226200
16226400,"N. Halawa Str nr Quar. Stn. at Halawa, Oahu, HI",-157.9127222,21.37188889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16226400
16227500,"Moanalua Stream nr Kaneohe, Oahu, HI",-157.848611,21.38805556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16227500
16229000,"Kalihi Str nr Honolulu, Oahu, HI",-157.8444444,21.3633611,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16229000
16238000,"Makiki Stream at King St. bridge, Oahu, HI",-157.83675,21.29663889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16238000
16238500,"Waihi Stream at Honolulu, Oahu, HI",-157.800861,21.3283611,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16238500
16240500,"Waiakeakua Str at Honolulu, Oahu, HI",-157.799611,21.32822222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16240500
16241600,"Manoa Stream at Woodlawn Drive, Oahu, HI",-157.8095,21.30844444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16241600
16244000,"Pukele Stream near Honolulu, Oahu, HI",-157.7883333,21.30666667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16244000
16247100,"Manoa-Palolo Drainage Canal at Moiliili, Oahu, HI",-157.8185556,21.28652778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16247100
16249000,"Waimanalo Str at Waimanalo, Oahu, HI",-157.7289167,21.34997222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16249000
16254000,"Makawao Str nr Kailua, Oahu, HI",-157.7621667,21.3595,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16254000
16264600,"Kawainui Marsh nr levee sta 15+00, Oahu, HI",-157.749361,21.39416667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16264600
16264690,"Kawainui Stream near Kailua, Oahu, HI",-157.7741944,21.3928611,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16264690
16265000,"Kawa Str at Kaneohe, Oahu, HI",-157.7905,21.40575,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16265000
16274100,"Kaneohe Str blw Kamehameha Hwy, Oahu, HI",-157.798111,21.41180556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16274100
16275000,"Heeia Stream at Haiku Valley nr Kaneohe, Oahu, HI",-157.8232306,21.40920833,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16275000
16283200,"Kahaluu Str nr Ahuimanu, Oahu, HI",-157.843861,21.43872222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16283200
16284200,"Waihee Str nr Kahaluu, Oahu, HI",-157.856611,21.44816667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16284200
16294100,"Waiahole Stream above Kamehameha Hwy, Oahu, HI",-157.8458889,21.48202778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16294100
16294900,"Waikane Str at alt 75 ft at Waikane, Oahu, HI",-157.8629722,21.49708333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16294900
16296500,"Kahana Str at alt 30 ft nr Kahana, Oahu, HI",-157.8825556,21.5406111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16296500
16301050,"Punaluu Str abv Punaluu Ditch Intake, Oahu, HI",-157.8988889,21.55638889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16301050
16304200,"Kaluanui Stream nr Punaluu, Oahu, HI",-157.9080556,21.5861111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16304200
16325000,"Kamananui Str at Pupukea Mil Rd, Oahu, HI",-158.015,21.62055556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16325000
16330000,"Kamananui Str at Maunawai, Oahu, HI",-158.0545833,21.63547222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16330000
16343100,"Helemano Str at Joseph Leong Hwy, Haleiwa, Oahu,HI",-158.1027944,21.57868889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16343100
16345000,"Opaeula Str nr Wahiawa, Oahu, HI",-158.00025,21.56233333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16345000
16400000,"Halawa Stream near Halawa, Molokai, HI",-156.7619722,21.1555,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16400000
16414200,"Kaunakakai Gulch at altitude 75 feet, Molokai, HI",-157.017861,21.09652778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16414200
16415600,"Kawela Gulch near Moku, Molokai, HI",-156.9483333,21.06997222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16415600
16501200,"Oheo Gulch at dam near Kipahulu, Maui, HI",-156.0522222,20.6683611,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16501200
16508000,"Hanawi Stream near Nahiku, Maui, HI",-156.1142222,20.8068611,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16508000
16518000,"West Wailuaiki Stream near Keanae, Maui, HI",-156.1429722,20.8143611,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16518000
16552800,"Waikamoi Str abv Kula PL intake nr Olinda, Maui,HI",-156.2312222,20.80538889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16552800
16587000,"Honopou Stream near Huelo, Maui, HI",-156.2525556,20.88563889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16587000
16604500,"Wailuku River at Kepaniwai Park, Maui, HI",-156.5392778,20.88238889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=16604500
