SiteNumber, SiteName, SiteLongitude, SiteLatitude, SiteNWISURL
148471320,"BIRCH BRANCH AT SHOWELL, MD",-75.21238889,38.4093333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=0148471320
148472405,"BUNTINGS GUT NEAR CEDARTOWN, MD",-75.18363889,38.1389722,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=0148472405
1485000,"POCOMOKE RIVER NEAR WILLARDS, MD",-75.3244444,38.38888889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01485000
1485500,"NASSAWANGO CREEK NEAR SNOW HILL, MD",-75.4714444,38.22891667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01485500
1485755,"LITTLE ANNEMESSEX RIVER AT CRISFIELD, MD",-75.86375,37.9784722,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01485755
1486000,"MANOKIN BRANCH NEAR PRINCESS ANNE, MD",-75.67138889,38.21388889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01486000
1488110,"NANTICOKE RIVER AT SHARPTOWN, MD",-75.72013889,38.5439722,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01488110
1490000,"CHICAMACOMICO RIVER NEAR SALEM, MD",-75.8799167,38.51166667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01490000
1491000,"CHOPTANK RIVER NEAR GREENSBORO, MD",-75.7858056,38.99719444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01491000
1491500,"TUCKAHOE CREEK NEAR RUTHSBURG, MD",-75.9430556,38.96680556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01491500
1492500,"SALLIE HARRIS CREEK NEAR CARMICHAEL, MD",-76.1088333,38.96488889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01492500
1492600,"EASTERN BAY AT CLAIBORNE, MD",-76.2805556,38.83702778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01492600
1493000,"UNICORN BRANCH NEAR MILLINGTON, MD",-75.8615,39.24994444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01493000
1493112,"CHESTERVILLE BRANCH NEAR CRUMPTON, MD",-75.94013889,39.25705556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01493112
1493500,"MORGAN CREEK NEAR KENNEDYVILLE, MD",-76.0145556,39.28002778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01493500
1495000,"BIG ELK CREEK AT ELK MILLS, MD",-75.8255833,39.6675833,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01495000
1578310,"SUSQUEHANNA RIVER AT CONOWINGO, MD",-76.1744444,39.65788889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01578310
1578475,"Octoraro Creek near Richardsmere, MD",-76.1152286,39.7067746,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01578475
1580000,"DEER CREEK AT ROCKS, MD",-76.4033056,39.6299722,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01580000
