SiteNumber, SiteName, SiteLongitude, SiteLatitude, SiteNWISURL
1094400,"NORTH NASHUA RIVER AT FITCHBURG, MA",-71.7881285,42.57620079,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01094400
1094500,"NORTH NASHUA RIVER NEAR LEOMINSTER, MA",-71.7219333,42.49506389,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01094500
1095220,"STILLWATER RIVER NEAR STERLING, MA",-71.7911829,42.41092507,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01095220
1095375,"QUINAPOXET RIVER AT CANADA MILLS NEAR HOLDEN, MA",-71.8281279,42.37286967,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01095375
1095434,"GATES BROOK NEAR WEST BOYLSTON, MA",-71.775349,42.36453675,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01095434
1095503,"NASHUA RIVER, WATER STREET BRIDGE, AT CLINTON, MA",-71.6661111,42.41944444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01095503
1096000,"SQUANNACOOK RIVER NEAR WEST GROTON, MA",-71.6578479,42.63425619,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01096000
1096500,"NASHUA RIVER AT EAST PEPPERELL, MA",-71.57506809,42.66758945,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01096500
1097000,"ASSABET RIVER AT MAYNARD, MA",-71.4497848,42.432038,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01097000
1097300,"NASHOBA BROOK NEAR ACTON, MA",-71.40422829,42.51259289,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01097300
1098500,"COCHITUATE BK BL LAKE COCHITUATE AT FRAMINGHAM, MA",-71.3838083,42.31514167,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01098500
1098530,"SUDBURY RIVER AT SAXONVILLE, MA",-71.3975605,42.3253732,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01098530
1099500,"CONCORD R BELOW R MEADOW BROOK, AT LOWELL, MA",-71.3020047,42.6367581,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01099500
1100000,"MERRIMACK RIVER BL CONCORD RIVER AT LOWELL, MA",-71.2983937,42.64592464,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01100000
1100500,"MERRIMACK RIVER AT LAWRENCE, MA",-71.15313889,42.7048333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01100500
1100561,"SPICKET RIVER NEAR METHUEN, MA",-71.208393,42.7431456,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01100561
1100568,"SHAWSHEEN RIVER AT HANSCOM FIELD NEAR BEDFORD, MA",-71.2722795,42.46703909,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01100568
1100600,"SHAWSHEEN RIVER NEAR WILMINGTON, MA",-71.2147792,42.5681488,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01100600
1100627,"SHAWSHEEN RIVER AT BALMORAL STREET AT ANDOVER, MA",-71.1492239,42.6714806,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01100627
1100693,"MERRIMACK R 0.3 MILES U.S.RT 125 AT HAVERHILL,MA",-71.0830556,42.77277778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01100693
1100870,"MERRIMACK RIVER AT NEWBURYPORT, MA",-70.87283057,42.81564687,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01100870
1101000,"PARKER RIVER AT BYFIELD, MA",-70.9456096,42.75286948,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01101000
1101500,"IPSWICH RIVER AT SOUTH MIDDLETON, MA",-71.0289419,42.570372,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01101500
1102000,"IPSWICH RIVER NEAR IPSWICH, MA",-70.8936622,42.6598157,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01102000
1102345,"SAUGUS RIVER AT SAUGUS IRONWORKS AT SAUGUS, MA",-71.0069954,42.4695404,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01102345
1102500,"ABERJONA RIVER AT WINCHESTER, MA",-71.1380816,42.4474568,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01102500
1103010,"MYSTIC RIVER AT ARLINGTON, MA",-71.1426944,42.42066667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01103010
1103025,"ALEWIFE BROOK NEAR ARLINGTON, MA",-71.1339422,42.40704077,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01103025
1103050,"MYSTIC R AT AMELIA EARHART DAM NR SOMERVILLE, MA",-71.07505177,42.39565236,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01103050
1103280,"CHARLES RIVER AT MEDWAY, MA",-71.3895032,42.1398197,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01103280
1103455,"TROUT BROOK AT DOVER, MA",-71.29339017,42.25398645,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01103455
1103500,"CHARLES RIVER AT DOVER, MA",-71.2600558,42.256209,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01103500
1104000,"MOTHER BROOK AT DEDHAM, MA",-71.1642196,42.2550985,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01104000
1104200,"CHARLES RIVER AT WELLESLEY, MA",-71.227833,42.3164861,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01104200
1104370,"STONY BROOK AT VILES STREET, NEAR WESTON, MA",-71.2894444,42.38555556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01104370
1104405,"HOBBS BROOK AT MILL ST NR LINCOLN, MA",-71.2695014,42.436484,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01104405
1104410,"CAMBRIDGE RES., UNNAMED TRIB 1, NR LEXINGTON, MA",-71.2642235,42.43648406,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01104410
1104415,"CAMBRIDGE RES., UNNAMED TRIB 2, NR LEXINGTON, MA",-71.2600567,42.43592855,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01104415
1104420,"CAMBRIDGE RES., UNNAMED TRIB 3, NR LEXINGTON, MA",-71.2575565,42.4198177,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01104420
1104430,"HOBBS BK BELOW CAMBRIDGE RES NR KENDALL GREEN, MA",-71.2733903,42.3981512,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01104430
1104455,"STONY BROOK, UNNAMED TRIBUTARY 1, NEAR WALTHAM, MA",-71.27033448,42.37259606,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01104455
1104460,"STONY BROOK AT RT 20 AT WALTHAM, MA",-71.2706123,42.368985,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01104460
1104475,"STONY BROOK RES., UNNAMED TRIB 1, NEAR WESTON, MA",-71.2681121,42.3545408,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01104475
1104480,"STONY BROOK RESERVOIR AT DAM NEAR WALTHAM, MA",-71.2650565,42.3556519,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01104480
1104500,"CHARLES RIVER AT WALTHAM, MA",-71.2336668,42.37231857,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01104500
1104501,"BEAVER BROOK, LINDEN STREET, AT WALTHAM, MA",-71.2223722,42.3786972,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01104501
1104683,"MUDDY RIVER AT BROOKLINE, MA",-71.11116328,42.3373197,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01104683
1104705,"CHARLES RIVER AT FIRST ST AT CAMBRIDGE, MA",-71.0786111,42.3622222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01104705
1104715,"CHARLES RIVER, NEW CHARLES RIVER DAM AT BOSTON, MA",-71.0616667,42.36888889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01104715
1105000,"NEPONSET RIVER AT NORWOOD, MA",-71.2008863,42.1775987,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01105000
