SiteNumber, SiteName, SiteLongitude, SiteLatitude, SiteNWISURL
9415060,"MESQUITE CANAL NR MESQUITE, NV",-114.01475,36.80988889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09415060
9415250,"VIRGIN RV ABV LAKE MEAD NR OVERTON, NV",-114.3359806,36.51325,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09415250
9415510,"PRESTON BIG SPRG NR PRESTON, NV",-115.08,38.9333333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09415510
9415558,"HOT CK NR SUNNYSIDE, NV",-115.1516667,38.37944444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09415558
9415589,"CRYSTAL SPGS DIV NR HIKO, NV",-115.2342993,37.53182099,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09415589
9415590,"209 S05 E60 10 1 CRYSTAL SPGS NR HIKO, NV",-115.2325215,37.5319043,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09415590
94156395,"ASH SPGS DIV DITCH BLW HWY 93 AT ASH SPGS, NV",-115.1941667,37.4597222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=094156395
9415645,"ASH SPGS CK BLW DIV AT HWY 93 AT ASH SPGS, NV",-115.195,37.46,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09415645
9415900,"MUDDY SPGS AT LDS FARM NR MOAPA, NV",-114.7155502,36.72163699,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09415900
9415908,"PEDERSON E SPGS NR MOAPA, NV",-114.7157139,36.70936389,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09415908
9415910,"PEDERSON SPGS NR MOAPA, NV",-114.7159722,36.70958056,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09415910
9415920,"WARM SPGS W NR MOAPA, NV",-114.7136639,36.7111833,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09415920
9415927,"WARM SPGS CONFL AT IVERSON FLUME NR MOAPA, NV",-114.7096667,36.7113333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09415927
9416000,"MUDDY RV NR MOAPA, NV",-114.6952715,36.7110817,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09416000
9417500,"MEADOW VALLEY WASH AT EAGLE CYN NR URSINE, NV",-114.206927,38.0041285,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09417500
9418500,"MEADOW VALLEY WASH NR CALIENTE, NV",-114.5630556,37.55837778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09418500
9419000,"MUDDY RV NR GLENDALE, NV",-114.5397075,36.64302844,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09419000
9419625,"CORN CK SPGS AT NATIONAL FISH & WILDLIFE HDQRS, NV",-115.3581194,36.43884444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09419625
9419659,SLOAN CHANNEL TRIB AT LAS VEGAS BLVD NR N LV,-115.0742806,36.22864167,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09419659
9419665,"SLOAN CHANNEL AT CHARLESTON BLVD NR LAS VEGAS, NV",-115.0452761,36.1596948,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09419665
94196781,"FLAMINGO WASH AT NELLIS BLVD NR LAS VEGAS, NV",-115.0655537,36.14302819,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=094196781
94196783,"LV WASH BLW FLAMINGO WASH CONFL NR LAS VEGAS, NV",-115.0477755,36.13969527,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=094196783
94196784,"LAS VEGAS WASH AT VEGAS VALLEY DR NR LAS VEGAS, NV",-115.0386085,36.1369177,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=094196784
9419679,"LAS VEGAS WASTEWAY NR E LAS VEGAS, NV",-115.0194403,36.10608548,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09419679
9419696,"DUCK CK AT BROADBENT BLVD AT E LAS VEGAS, NV",-115.0238843,36.09080799,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09419696
9419698,"LV WASH BLW DUCK CK CONF NR HENDERSON, NV",-115.0000505,36.09152507,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09419698
9419700,"LAS VEGAS WASH AT PABCO RD NR HENDERSON, NV",-114.9858276,36.08747539,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09419700
9419740,"C-1 CHANNEL NR WARM SPGS RD AT HENDERSON, NV",-114.9591584,36.044699,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09419740
9419745,"C-1 CHANNEL ABV MOUTH NR HENDERSON, NV",-114.9683333,36.085,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09419745
9419747,"LV WASH ABV BOSTICK WEIR NR HENDERSON, NV",-114.972225,36.08978889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09419747
9419749,"LV WASH ABV HOMESTEAD WEIR NR HENDERSON, NV",-114.9551833,36.09420556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09419749
9419753,"LV WASH ABV THREE KIDS WASH BLW HENDERSON, NV",-114.9433194,36.100375,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09419753
9419756,LAS VEGAS WASH OVERFLOW AT LAKE LAS VEGAS INLET,-114.934437,36.10247588,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09419756
9419800,"LV WASH BLW LAKE LAS VEGAS NR BOULDER CITY, NV",-114.904992,36.12219816,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09419800
9421500,"COLORADO RV BLW HOOVER DAM, AZ-NV",-114.7385936,36.01525847,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09421500
9422500,"LAKE MOHAVE AT DAVIS DAM, AZ-NV",-114.5694098,35.19722105,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09422500
9423000,"COLORADO RIVER BELOW DAVIS DAM, AZ-NV",-114.5721876,35.19166556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09423000
10243224,"BIG SPGS CK SOUTH CHANNEL NR BAKER, NV",-114.131932,38.6991188,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10243224
102432241,"BIG SPGS CK NORTH CHANNEL NR BAKER, NV",-114.131932,38.6993966,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=102432241
10243260,"LEHMAN CK NR BAKER, NV",-114.2144392,39.0116129,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10243260
10243700,"CLEVE CK NR ELY, NV",-114.5296389,39.21657778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10243700
10244950,"STEPTOE CK NR ELY, NV",-114.689161,39.20153889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10244950
10245100,"GEYSER CK AT SPGS ORIFICE NR MINERVA, NV",-114.6666667,38.68,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10245100
10245960,"COILS CK ABV HORSE CK NR EUREKA, NV",-116.4644444,39.76977778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10245960
10245970,"ROBERTS CK NR EUREKA, NV",-116.3009444,39.78977778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10245970
10246835,"BIG WARM SPGS NR DUCKWATER, NV",-115.7032778,38.95019444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10246835
10249280,"KINGSTON CK BLW COUGAR CYN NR AUSTIN, NV",-117.1134216,39.2124291,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10249280
10249300,"S TWIN RV NR ROUND MOUNTAIN, NV",-117.2453673,38.8874302,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10249300
10293500,"E WALKER RV ABV STROSNIDER DITCH NR MASON, NV",-119.0479917,38.81371389,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10293500
10297500,"W WALKER RV AT HOYE BRG NR WELLINGTON, NV",-119.427861,38.72806389,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10297500
10300000,"W WALKER RV NR HUDSON, NV",-119.227377,38.8096366,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10300000
10300600,"WALKER RV AT SNYDER LN NR MASON, NV",-119.1915833,38.92125,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10300600
10301115,"WALKER RVR BLW YERINGTON WEIR NR YERINGTON, NV",-119.1560556,39.02041667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10301115
10301500,"WALKER RV NR WABUSKA, NV",-119.0988889,39.1524611,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10301500
10301600,"WALKER RV ABV WEBER RES NR SCHURZ, NV",-118.929317,39.1032533,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10301600
10301720,"WALKER RV AT PT SITE BLW WEBER RES NR SCHURZ, NV",-118.8623696,39.0338091,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10301720
10301742,"CANAL NO 2 ABV LITTLE DAM NR SCHURZ, NV",-118.8609803,39.0140869,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10301742
10301745,"WALKER RV ABV LITTLE DAM NR SCHURZ, NV",-118.8609803,39.01353135,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10301745
10301755,"CANAL NO 1 BLW LITTLE DAM NR SCHURZ, NV",-118.861258,39.01242024,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10301755
10302002,"WALKER RV AT LATERAL 2-A SIPHON NR SCHURZ, NV",-118.8037557,38.94019785,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10302002
10302025,"WALKER RV NR MOUTH AT WALKER LAKE, NV",-118.727085,38.79103038,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10302025
10308200,E FK CARSON RV BLW MARKLEEVILLE CK NR MARKLEEVILLE,-119.7648985,38.7146274,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10308200
10309000,"E FK CARSON RV NR GARDNERVILLE, NV",-119.7060833,38.84519444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10309000
10309010,"E FK CARSON RV NR DRESSLERVILLE, NV",-119.6918056,38.88013889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10309010
10310500,"CLEAR CK NR CARSON CITY, NV",-119.7982365,39.11324216,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10310500
10311000,"CARSON RV NR CARSON CITY, NV",-119.7132334,39.10768747,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10311000
10311100,"KINGS CYN CK NR CARSON CITY, NV",-119.8079599,39.15379796,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10311100
10311200,"ASH CYN CK NR CARSON CITY, NV",-119.805738,39.17629816,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10311200
10311300,"EAGLE VALLEY CK AT CARSON CITY, NV",-119.722225,39.165275,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10311300
10311400,"CARSON RV AT DEER RUN RD NR CARSON CITY, NV",-119.6948694,39.18137778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10311400
10311700,"CARSON RV AT DAYTON, NV",-119.5878583,39.23779444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10311700
10311750,"CARSON R ABV SIXMILE CYN CK BLW DAYTON, NV",-119.5251389,39.28091667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10311750
10312000,"CARSON RV NR FORT CHURCHILL, NV",-119.311111,39.29166667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10312000
10312150,"CARSON RV BLW LAHONTAN RESERVOIR NR FALLON, NV",-119.0462583,39.4639361,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10312150
10312275,"CARSON RV AT TARZYN RD NR FALLON, NV",-118.7259842,39.55880594,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10312275
10313900,"HANKS CK AT MARYS RV RANCH RD NR DEETH, NV",-115.2866389,41.4778611,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10313900
10315500,"MARYS RV ABV HOT SPGS CK NR DEETH, NV",-115.2564468,41.2526961,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10315500
10316500,"LAMOILLE CK NR LAMOILLE, NV",-115.477003,40.69076057,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10316500
10317480,"BEAVER CK ABV CONF N FK HUMBOLDT RV NR HALLECK, NV",-115.5719444,41.3297222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10317480
10317500,"N FK HUMBOLDT RV AT DEVILS GATE NR HALLECK, NV",-115.492575,41.17875278,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10317500
10318500,"HUMBOLDT RV NR ELKO, NV",-115.6241667,40.93655556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10318500
10319900,"S FK HUMBOLDT RV ABV TENMILE CK NR ELKO, NV",-115.7305222,40.6274972,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10319900
10320000,"S FK HUMBOLDT RV ABV DIXIE CK NR ELKO, NV",-115.8134002,40.6849236,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10320000
10321000,"HUMBOLDT RV NR CARLIN, NV",-116.009242,40.72769715,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10321000
10321590,"SUSIE CK AT CARLIN, NV",-116.0778547,40.72602928,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10321590
10321940,"MAGGIE CK ABV MAGGIE CK CYN NR CARLIN, NV",-116.2234155,40.8249142,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10321940
10321950,"MAGGIE CK AT MAGGIE CR CYN NR CARLIN, NV",-116.2000813,40.80324824,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10321950
10322000,"MAGGIE CK AT CARLIN, NV",-116.093575,40.71624444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10322000
10322150,"MARYS CK AT CARLIN, NV",-116.1259112,40.710473,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10322150
10322500,"HUMBOLDT RV AT PALISADE, NV",-116.2017444,40.60741747,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10322500
10322505,"HORSE CK AT HORSE CYN NR GARDEN GATE PASS, NV",-116.5034444,40.11555556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10322505
103225055,"WILLOW CK AT ALLISON RANCH NR GARDEN GATE PASS, NV",-116.4866944,40.171,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=103225055
10322510,"TONKIN SPG OUTFLOW ABV DENAY CK NR EUREKA, NV",-116.4125278,39.90480556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10322510
10322535,"HENDERSON CK BLW VINNINI CK NR EUREKA, NV",-116.1669444,39.869,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10322535
10322555,"PETE HANSON CK ABV HENDERSON CK NR EUREKA, NV",-116.3782778,39.89030556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10322555
10322800,"PINE CK AT MODARELLI MINE RD NR HAY RANCH, NV",-116.1251389,40.38125,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10322800
10323425,"HUMBOLDT RV AT OLD US 40 BRG AT DUNPHY, NV",-116.5309216,40.7054675,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10323425
10324500,"ROCK CK NR BATTLE MOUNTAIN, NV",-116.5883417,40.83040556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10324500
10324700,"BOULDER CK NR DUNPHY, NV",-116.4400903,40.95491015,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10324700
10325000,"HUMBOLDT RV AT BATTLE MOUNTAIN, NV",-116.9312118,40.6676885,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10325000
10327500,"HUMBOLDT RV AT COMUS, NV",-117.3176168,40.99212549,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10327500
10329000,"L HUMBOLDT RV NR PARADISE VALLEY, NV",-117.373511,41.4158222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10329000
10329500,"MARTIN CK NR PARADISE VALLEY, NV",-117.4179047,41.5346175,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10329500
