SiteNumber, SiteName, SiteLongitude, SiteLatitude, SiteNWISURL
10396000,DONNER UND BLITZEN RIVER NR FRENCHGLEN OR,-118.8675,42.7908333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10396000
11493500,"WILLIAMSON RIVER NEAR KLAMATH AGENCY, OR",-121.8344618,42.74013528,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11493500
11501000,"SPRAGUE RIVER NEAR CHILOQUIN, OR",-121.8483333,42.58430556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11501000
11502500,"WILLIAMSON RIVER BLW SPRAGUE RIVER NR CHILOQUIN,OR",-121.8797139,42.564375,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11502500
11503000,"ANNIE SPRING NEAR CRATER LAKE, OR",-122.168917,42.8715179,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11503000
11504115,"WOOD RIVER NEAR KLAMATH AGENCY, OR",-121.9417028,42.58155556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11504115
11504290,"SEVENMILE CNL AT DIKE RD BR, NR KLAMATH AGENCY, OR",-121.9713889,42.58166667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11504290
11507500,"LINK RIVER AT KLAMATH FALLS, OR",-121.7941708,42.22347795,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11507500
11509105,"NORTH CANAL AT HIGHWAY 97, NEAR MIDLAND, OR",-121.8300033,42.1223682,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11509105
11509200,"ADY CANAL AT HIGHWAY 97, NEAR WORDEN, OR",-121.8446389,42.08088889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11509200
11509250,"ADY CANAL ABOVE LOWER KLAMATH NWR, NEAR WORDEN, OR",-121.8258333,42.00416667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11509250
