SiteNumber, SiteName, SiteLongitude, SiteLatitude, SiteNWISURL
3312259,"SALT LICK CREEK BELOW RED BOILING SPRINGS, TN",-85.8571075,36.55188026,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03312259
3408500,"NEW RIVER AT NEW RIVER, TN",-84.5547174,36.3855167,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03408500
3409500,"CLEAR FORK NEAR ROBBINS, TN",-84.6301881,36.38828757,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03409500
3410210,"SOUTH FK CUMBERLAND RIVER AT LEATHERWOOD FORD, TN",-84.6693676,36.47738108,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03410210
3414500,"EAST FORK OBEY RIVER NEAR JAMESTOWN, TN",-85.02634019,36.41617895,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03414500
3415000,"WEST FORK OBEY RIVER NEAR ALPINE, TN",-85.1744486,36.3973873,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03415000
3416000,"WOLF RIVER NEAR BYRDSTOWN, TN",-85.0730073,36.5603447,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03416000
3417500,"CUMBERLAND RIVER AT CELINA, TN",-85.5144139,36.55422759,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03417500
3418000,"ROARING RIVER NEAR HILHAM, TN",-85.4263596,36.34089454,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03418000
3418224,"JENNINGS CREEK AT RILEY CR RD AT WHITLEYVILLE, TN",-85.6747222,36.44027778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03418224
3418420,"CUMBERLAND RIVER BELOW CORDELL HULL DAM, TN",-85.9408197,36.2867212,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03418420
3419530,"CALFKILLER RIVER AT HWY 70 AT SPARTA, TN",-85.4674306,35.9265,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03419530
3421000,"COLLINS RIVER NEAR MCMINNVILLE, TN",-85.7318338,35.7082839,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03421000
3423000,"FALLING WATER RIVER NEAR COOKEVILLE, TN",-85.5213658,36.0772849,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03423000
3424730,"SMITH FORK AT TEMPERANCE HALL, TN",-85.9074506,36.08731209,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03424730
3424860,CANEY FORK AT STONEWALL,-85.9044444,36.1861111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03424860
3426387,"MANSKER CREEK AT HWY 41 NEAR MILLERSVILLE, TN",-86.725,36.3575,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03426387
3426470,"DRY CREEK NEAR EDENWOLD, TN",-86.7063414,36.28445246,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03426470
3426490,"CUMBERLAND RIVER AT EDENWOLD, TN",-86.6883333,36.2875,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03426490
3427500,"EAST FORK STONES RIVER NEAR LASCASSAS, TN",-86.3338806,35.91839756,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03427500
3428200,"WEST FORK STONES RIVER AT MURFREESBORO, TN",-86.4299923,35.90284234,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03428200
3430200,"STONES RIVER AT US HWY 70 NEAR DONELSON, TN",-86.6327739,36.1864446,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03430200
3430250,"CUMBERLAND RIVER AT STONES RIVER NEAR HERMITAGE,TN",-86.6652778,36.19166667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03430250
3430320,"CUMBERLAND RIVER AT BRILEY PKWY NR INGLEWOOD, TN",-86.7125,36.23527778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03430320
3430550,"MILL CREEK NEAR NOLENSVILLE, TN",-86.70152,36.0092034,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03430550
