SiteNumber, SiteName, SiteLongitude, SiteLatitude, SiteNWISURL
7227420,"Cramer Ck at US Hwy 54 nr Dalhart, TX",-102.8931667,35.75125,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07227420
7227500,"Canadian Rv nr Amarillo, TX",-101.879628,35.4703261,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07227500
7227890,"Big Blue Ck nr Fritch, TX",-101.6625278,35.72077778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07227890
7228000,"Canadian Rv nr Canadian, TX",-100.3706884,35.935042,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07228000
7233500,"Palo Duro Ck nr Spearman, TX",-101.305993,36.20225497,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07233500
7235000,"Wolf Ck at Lipscomb, TX",-100.2756889,36.23864885,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07235000
7295500,"Tierra Blanca Ck abv Buffalo Lk nr Umbarger, TX",-102.1760295,34.84867146,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07295500
7297910,"Pr Dog Twn Fk Red Rv nr Wayside, TX",-101.4140578,34.83755505,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07297910
7298500,"Pr Dog Twn Fk Red Rv nr Brice, TX",-100.9406994,34.62783574,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07298500
7299540,"Pr Dog Twn Fk Red Rv nr Childress, TX",-100.1940023,34.56922728,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07299540
7299670,"Groesbeck Ck at SH 6 nr Quanah, TX",-99.7403719,34.35451979,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07299670
7299890,"Lelia Lk Ck bl Bell Ck nr Hedley, TX",-100.6965246,34.93560669,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07299890
7300000,"Salt Fk Red Rv nr Wellington, TX",-100.220949,34.95755294,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07300000
7301300,"N Fk Red Rv nr Shamrock, TX",-100.2417855,35.2642163,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07301300
7301410,"Sweetwater Ck nr Kelton, TX",-100.1209501,35.47310419,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07301410
7308200,"Pease Rv nr Vernon, TX",-99.3233333,34.1795833,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07308200
7308500,"Red Rv nr Burkburnett, TX",-98.5317234,34.11009327,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07308500
7311700,"N Wichita Rv nr Truscott, TX",-99.7864822,33.82064216,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07311700
7311800,"S Wichita Rv nr Benjamin, TX",-99.8009252,33.644257,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07311800
7311900,"Wichita Rv nr Seymour, TX",-99.3886905,33.70036966,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07311900
7312100,"Wichita Rv nr Mabelle, TX",-99.1428495,33.7600934,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07312100
7312110,"S Side Canal nr Dundee, TX",-98.932844,33.81398475,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07312110
7312200,"Beaver Ck nr Electra, TX",-98.9050666,33.90592785,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07312200
7312330,"Wichita Rv at FM 368 nr Iowa Park, TX",-98.7072222,33.89694444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07312330
7312500,"Wichita Rv at Wichita Falls, TX",-98.5336663,33.90954178,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07312500
7312610,"Holliday Ck at Wichita Falls, TX",-98.4988889,33.88444444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07312610
7312700,"Wichita Rv nr Charlie, TX",-98.2967139,34.0531504,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07312700
7314500,"Little Wichita Rv nr Archer City, TX",-98.6131124,33.66260225,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07314500
7314900,"Little Wichita Rv abv Henrietta, TX",-98.2400458,33.8267666,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07314900
7315200,"E Fk Little Wichita Rv nr Henrietta, TX",-98.0850406,33.81287833,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07315200
7315510,"Beaver Ck nr Ringgold, TX",-97.9438472,33.85540278,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07315510
7315525,"Belknap Ck nr Ringgold, TX",-97.8863139,33.8069833,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07315525
7316000,"Red River near Gainesville, TX",-97.1600129,33.7278833,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07316000
7331600,"Red River at Denison Dam nr Denison, TX",-96.5633264,33.81899124,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07331600
7332620,"Bois D'Arc Ck at FM 1396 nr Honey Grove, TX",-95.9844444,33.6822222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07332620
7332622,"Bois D'Arc Ck at FM 409 nr Honey Grove, TX",-95.9611111,33.74416667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07332622
7335500,"Red River at Arthur City, TX",-95.5019023,33.8751049,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07335500
7336820,"Red River near De Kalb, TX",-94.6943774,33.68400005,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07336820
7342465,"S Sulphur Rv at Commerce, TX",-95.9141328,33.21177979,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07342465
7342480,"Middle Sulphur Rv at Commerce, TX",-95.9155217,33.26650079,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07342480
7342500,"S Sulphur Rv nr Cooper, TX",-95.5949562,33.356499,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07342500
7343000,"N Sulphur Rv nr Cooper, TX",-95.5877347,33.47483009,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07343000
7343200,"Sulphur Rv nr Talco, TX",-95.1324428,33.3862233,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=07343200
