SiteNumber, SiteName, SiteLongitude, SiteLatitude, SiteNWISURL
1133000,"EAST BRANCH PASSUMPSIC RIVER NEAR EAST HAVEN, VT",-71.8975942,44.63394195,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01133000
1134500,"MOOSE RIVER AT VICTORY, VT",-71.8373143,44.5117231,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01134500
1135150,"POPE BROOK (SITE W-3) NEAR NORTH DANVILLE, VT",-72.1245431,44.47616707,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01135150
1135300,"SLEEPERS RIVER (SITE W-5) NEAR ST. JOHNSBURY, VT",-72.03842899,44.4353353,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01135300
1135500,"PASSUMPSIC RIVER AT PASSUMPSIC, VT",-72.0392613,44.3656147,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01135500
1138500,"CONNECTICUT RIVER AT WELLS RIVER, VT",-72.0417577,44.15339689,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01138500
1139000,"WELLS RIVER AT WELLS RIVER, VT",-72.0650915,44.1503413,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01139000
1139800,"EAST ORANGE BRANCH AT EAST ORANGE, VT",-72.33565327,44.0928419,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01139800
1140817,"ELIZABETH MINE DISCHARGE NR S STRAFFORD, VT",-72.3359268,43.83590197,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01140817
1142500,"AYERS BROOK AT RANDOLPH, VT",-72.6578821,43.93450969,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01142500
1144000,"WHITE RIVER AT WEST HARTFORD, VT",-72.418149,43.71423614,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01144000
1150900,"OTTAUQUECHEE RIVER NEAR WEST BRIDGEWATER, VT",-72.7589899,43.62229069,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01150900
1151500,"OTTAUQUECHEE RIVER AT NORTH HARTLAND, VT",-72.35425819,43.60257077,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01151500
1153000,"BLACK RIVER AT NORTH SPRINGFIELD, VT",-72.51481258,43.33340716,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01153000
1153550,WILLIAMS RIVER NEAR ROCKINGHAM VT,-72.48508889,43.1917433,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01153550
1154000,"SAXTONS RIVER AT SAXTONS RIVER, VT",-72.4881444,43.13757777,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01154000
1155500,"WEST RIVER AT JAMAICA, VT",-72.775374,43.1089665,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01155500
1334000,"WALLOOMSAC RIVER NEAR NORTH BENNINGTON, VT",-73.2564981,42.91285604,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01334000
4280000,"POULTNEY RIVER BELOW FAIR HAVEN, VT",-73.3115011,43.6242324,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04280000
4282000,"OTTER CREEK AT CENTER RUTLAND, VT",-73.0131628,43.6036792,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04282000
