SiteNumber, SiteName, SiteLongitude, SiteLatitude, SiteNWISURL
6036805,"Firehole River at Old Faithful, YNP",-110.8222722,44.4593333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06036805
6036940,"Tantalus Creek at Norris Junction, YNP",-110.7132528,44.732725,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06036940
6037100,"Gibbon River at Madison Jct, YNP",-110.8610639,44.6408,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06037100
6186500,Yellowstone River at Yellowstone Lk Outlet YNP,-110.3804056,44.56709167,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06186500
6188000,Lamar River nr Tower Ranger Station YNP,-110.3942694,44.92817778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06188000
6190540,"Boiling River at Mammoth,YNP",-110.6893444,44.9851333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06190540
6191000,"Gardner River near Mammoth, YNP",-110.690975,44.9923444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06191000
6218500,"WIND RIVER NEAR DUBOIS, WY",-109.7598835,43.57856415,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06218500
6220800,"WIND RIVER ABOVE RED CREEK, NEAR DUBOIS, WY",-109.4587584,43.441622,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06220800
6221400,"DINWOODY CREEK ABOVE LAKES, NEAR BURRIS, WY",-109.4087778,43.34616667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06221400
6224000,"BULL LAKE CREEK ABOVE BULL LAKE, WY",-109.2025556,43.1766111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06224000
6227600,"WIND RIVER NEAR KINNEAR, WY",-108.7088889,43.14277778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06227600
6228000,"WIND RIVER AT RIVERTON, WY",-108.3767701,43.01051478,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06228000
6228350,"SF L WIND RIV AB WASHAKIE RES, NR FT WASHAKIE, WY",-109.037628,42.96828927,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06228350
6235500,"LITTLE WIND RIVER NEAR RIVERTON, WY",-108.3754167,42.9975,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06235500
6253000,"FIVEMILE CREEK NEAR SHOSHONI, WY",-108.2196944,43.22191667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06253000
6274300,"BIGHORN RIVER AT BASIN, WY",-108.0362117,44.3832907,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06274300
6276500,"GREYBULL RIVER AT MEETEETSE, WY",-108.8725833,44.15852778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06276500
6278300,"SHELL CREEK ABOVE SHELL CREEK RESERVOIR, WY",-107.4036886,44.5080195,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06278300
6278500,"SHELL CREEK NEAR SHELL, WY",-107.7128666,44.56496097,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06278500
6279500,"BIGHORN RIVER AT KANE, WY",-108.1814972,44.75856618,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06279500
6279940,"NORTH FORK SHOSHONE RIVER AT WAPITI, WY",-109.4304399,44.46967158,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06279940
6280300,"SOUTH FORK SHOSHONE RIVER NEAR VALLEY, WY",-109.55525,44.20788889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06280300
6281000,"SOUTH FORK SHOSHONE RIVER AB BUFFALO BILL RES, WY",-109.2579293,44.41911816,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06281000
6283995,"Shoshone River ab Willwood Dam, nr Ralston, WY",-108.9275278,44.66121667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=06283995
